stage,blastomeres,epidermis,eye,fin.epithelia,glial,immune,ionocyte,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,visceral.smooth.muscle
  7-9,6.22,0,0,0,0,0,0,0,0,3.21,7.83,0,0,0,0,0
 10-12,0,0,10.02,0,0,0,0,0,0,22.32,4.46,0,3.49,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0
 24-34,0,0,0,0,0,0,0,0,1.17,12.03,0,0,0,1.52,0,0
 36-46,0,0,3.76,0,0,0,0,0,0,15.77,0,1.95,0,4.84,0,0
 48-58,0,3.98,6.44,0,0.89,0,0,9.31,0,8.54,0,0,0,0.99,0,0
 60-70,0,0,36.78,4.43,8.4,0.6,0,0.97,0,21.23,0,0,0,10,0,0
 72-82,0,2.56,13.7,0,1.27,0,0,1.11,0,9.07,0,0,0,0,0,0
 84-94,0,0,3.7,0,3.27,0,0,2.07,0,2.65,0,0,0,0,0,0
 96-106,0,1.36,0,0,2.3,0,0,0,0,0.96,0,0,0,0,0,0
108-118,0,1.27,1.74,0,0,0,0.72,0,0,1.08,0,0,0,0,0,1.9
120,0,0,2.36,0,0,0,0,0,0,6.72,0,1.75,0,0,2.82,0
