stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.67,569.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.15,0,0,0,0,0,0,0,0,0
  5-6,21.59,217.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.77,0,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.04,0,0,0,15.86,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.6,6.41,0,0,21.06,0,0,0,8.71,0,0,0,0,0,0,0
 14-21,0,0,0,3.54,2.89,0,3.39,0,0,0,2.35,0,0,0,0,0,0,0,0,3.54,0,0,0,36.26,0,0,1.05,1.32,0,60.48,2.14,0.94,1.02,31.42,0,0,2.01,0,0
 24-34,0,0,0,11.29,0,0,11.29,0,6.59,7.64,10.64,4.01,0,0,0,0,0.64,0,0,21.63,0.66,0,3.53,223.27,8.74,0,1.73,0,0,285.27,0,2.14,4.25,60.43,0,0,1.26,0,0
 36-46,0,0,0.85,6.19,0,0,35.02,0,0,40.94,12.38,0,0,1.03,0,12.95,1.61,0.59,9.54,28.97,0,0,6.03,187.76,1.31,2.67,7.57,0,0,305.93,0,0.88,0,73.19,0,0,7.83,0,0.81
 48-58,0,0,0.86,2.41,0,0,27.72,0,1.66,40.06,28.81,1.92,0,0,0.38,0,3.54,0,5.18,42.17,2.12,0.56,5.71,117.93,0.88,1.41,0,0,0.56,359.63,0,2.02,0,33.75,0,0.61,0,0,1.1
 60-70,0,0,0,15.52,0,0,23.52,0,6.49,44.02,28.16,0,0,0,0.58,1.16,3.03,0,0,38.58,0.9,0,3.45,91.96,0.75,0,0,0,0,389.74,0,0,0,16.14,0,0.67,1.03,0,3.62
 72-82,0,0,0,9.95,0,0,19.38,0,7.71,41.48,47.33,2.42,0.51,0,0.55,0,3.33,0,0,65.91,1.5,6.16,3.51,48.26,0,0,3.18,0,0,258.82,0,0,0,7.8,2.31,0,0.74,0.93,11.58
 84-94,0,0,0,15.3,0,0,15.91,0,7.41,45.53,46.83,5.68,0.8,0,4.93,1.31,1.79,0,0,60.38,5.85,1.25,2.93,68.52,0,2.51,10.01,0,1.01,582.5,0,1.85,0,15.53,1.17,1.07,0.57,0,5.27
 96-106,0,0,2.45,44.49,0,1.07,40.14,0.95,6.46,10.2,40.62,11.97,0.73,0,10.99,0.71,10.31,10.14,4.07,42.8,8.83,1.82,3.45,42.4,0,3.86,5.65,1.2,0,653.96,0,1.31,0,4.24,0,0,0,2.03,2.64
108-118,0,0,0,24.39,0,0.92,22.46,0,6.52,21.57,32.23,12.31,1.03,2.09,15.82,3.67,6.84,0,0,48.98,8.33,2.05,3.02,71.44,0,4.97,1.95,0,0,506.94,0,1.82,0,4,0,0,2.43,0.5,13.84
120,0,0,0,48.78,0,2.02,38.48,0,14.18,71.01,99.58,12.61,0,0,6.54,4.86,1.88,0,0,63.73,13.95,0,1.09,93.48,2.33,0,0,0,0,359.33,0,3.84,0,6,0,0,0,0,0
