stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,278.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.94,0,0,0,0,0,0,0,0,0
  5-6,92.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.44,0,0,0,9.17,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.82,8.41,7.18,0,1.72,0,0,0,0,0,0,0,0,0,0,3.7,11.13,0,0,6.12,24.77,3.6,0,0,1.19,0,18.11,10.72,2.15,14.79,10.67,0,0,0.89,0,0.84
 24-34,0,0,0,6.69,0,0,4.42,0,0,0.8,2.71,0,1.21,0,0.69,0,0,0,18.08,0.71,0,6.17,51.24,0,5.57,0,0,0,11.42,1.59,0.63,4.12,11.74,0,0,4.42,0,0
 36-46,0,0,0,0.6,0,0,9.75,0,0,4.81,6.54,0,0,0,0,0,0,0,12.9,0.65,1.73,1.74,111.04,0,1.32,3.28,0,0,6.36,0,0.63,0,20.91,0,0,3.63,0,0
 48-58,0,0,0,0,0,0,31.44,0,0,1.5,8.88,0,0,0,0,0,0,0,13.77,0,0,2.33,113.43,0,4.22,5.9,0,0,2.25,0,0,0,14,0,0,0,0,0.5
 60-70,0,0,0,6.36,0,0,67.19,0.7,1.1,2.39,15.45,9.02,0.71,0,0,0,0.77,0,19.16,2.04,0.65,1.13,159.87,2,0.74,3.85,0,1.65,3.37,0,0,0,13.6,0,0.94,4.5,0,0
 72-82,0,0,0,6.53,1.07,0,74.89,0,0,2.82,9.81,0.61,0,0,0.64,0,1.15,0,32.04,0.55,0,1.32,203.01,0,2.79,0.61,0,3.01,5.68,0,0,0,11.8,0,1.34,0.56,0,5.2
 84-94,0,1.23,0,5.55,0.86,0,54.21,0,0,2.61,4.07,3.11,0,3.64,3.56,0.61,0.69,1.05,27.02,0,1.81,0.81,205.65,0,2.5,8.32,0,0,24.84,0,0,0,10.93,0.66,0.64,1.17,0,0
 96-106,0,0,0,5.15,6.53,0,64.14,0,0,0,6.96,0,0.95,0.71,1.12,0,2.95,0,16.34,1.23,0,0,123.03,0,0.56,3.27,0,3.14,23.4,0,0,0,5.14,1.63,0,4.69,2.23,4.45
108-118,0,3.59,0,5.81,0.47,0,26.92,0,0,0,13.16,4.16,1.56,2.39,3,0,1.84,1.99,20.29,0,4.1,0,126.48,0,1.5,3.17,0,4.16,16.01,0,0,0,1.72,0,3.45,1.19,0,2.94
120,0,0,0,5.75,1.45,3.13,15.28,0,0,0,21.81,2.75,0,1.38,0,1.58,0,0,24.33,0,0,3,196.22,0,1.15,0,0,0,14.37,0,0,0,0,0,0,26.04,0,0
