stage,erythrocytes,eye,glial,immune,lateral_line,mesenchyme,muscle,neural,olfactory,pericytes,periderm,slow_muscle,spinal_cord,taste,visceral_smooth_muscle
 36-46,0,0,0,0,0,0,0,15.57,3.47,0,0,0,1.88,0,0
 48-58,0,0,0,0,0,0,0,17.14,0,0,0.4,0,0,0,0
 60-70,0,12.5,0,0,0,1.33,0,18.12,0,0.66,0,0,0,1.72,0
 72-82,0,0,0.49,0,0,2.82,0,49.42,0,0,0,0,4.63,0,0
 84-94,0,4.21,0,0,1.91,0,0,49.74,0,0,0,0,0,0,0
 96-106,0,5.15,2.38,0,0,0.98,0,53.78,0,0,0.63,0,0,0,0
108-118,0,0,0,0.5,0,0,0.46,74.66,0.57,0,0,0.55,0,0,0.72
120,2.55,0,0,3.01,0,0,1.82,190.42,0,0,0,0,14.14,0,0
