stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,12.96,3.91,0,0,0,0,0,0,1.84,0,0,0.93,0,0,3.09,0,1.4,16.06,31.21,1.08,0,0.95,0,0,2.37,2.27,10.5,0,0,7.32,0,0
 24-34,0,0.81,0.69,0.76,5.79,0,0,0,1.53,0,1.84,0,0,5.67,0,0.92,11.09,0,2.53,123.48,4.74,0,1.44,0,0,0,0,0.79,42.97,0,0,21.39,0,8.4
 36-46,0,0,3.07,0,6.48,0,0,0.84,10.95,0,0.6,0,0,0.57,0,10.44,15.59,0,6.38,152.93,1.41,0.88,0.85,0,0,0.95,0,0,57.3,0,0,21.23,0,78.94
 48-58,0,0,0,0,23.91,0,0,2.58,42.4,0,3.22,1.13,12.31,0.58,2.75,1.6,17.86,1.76,0.94,71.86,0,0.9,2.03,0,0,0,0,0,15.04,0,0,5.53,0,46.34
 60-70,0,0,0.62,0,14.07,0,0.69,2.12,24.42,0,0.95,0,3.38,2.39,1.2,0,48.39,2.15,2.43,73.51,0.66,0.74,3.15,0,0,0,0,0,13.84,0,1.17,1.85,2.38,25.02
 72-82,0,0,1.3,4.74,19.55,0,0.51,1.46,13.03,0,1.06,7.69,13.97,0,0.62,0,37.68,1.01,2.73,83.24,0,0,4.92,0,3.34,0,0,0,12.59,0,0,21.73,0,6.63
 84-94,0,0,2.97,0,10.1,0,0,1.41,36.75,0,1.46,2.82,6.42,2.21,0,7.96,34.22,4.92,1.31,43.74,0,0,1.29,0,0,8.99,0,0,14.5,0,1.77,6.42,2.34,22.39
 96-106,0,0,2.39,0,10.66,0,0,0,24.85,0,2.92,9.34,11.22,6.06,9.08,2.39,44.16,2.3,0,39.27,0,0.95,1.79,0,12.8,2.16,0,0,4.7,0.61,4.59,11.43,1.16,7.29
108-118,0,0,7.14,2.21,10.97,0.78,0.7,3.59,25.87,0,0,7.98,14.76,13.52,0,0,53.42,3.82,2.79,43.63,0.56,0,0,0,1.65,0.46,0,0,0,0.9,0,24.59,0.44,2.47
120,0,0,1.41,0,3.55,1.72,1.19,0,21.97,2.59,6.61,0,49.93,0,0,0,47.48,15.02,0,102.12,1.18,0,0,0,4.22,6.77,0,0,0,1.63,2.55,31.05,0,8.32
