stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27,0,0,3.53,0,0,0,0,0,0,0,0
 10-12,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,2.15,4.28,0,0,0,0,0,0,0,3.46,0,0,0
 24-34,0,0,6.56,0,0,1.29,0,1.25,0,0,0,0,0,0,2,0,0,0.76,18.59,0,0,0,0,0,0,0.64,5.25,0.76,0,0
 36-46,0,0,12.16,0,0,0,0,0,0,1.84,0,0,0,0,5.77,1.99,4.9,0,11.91,0.95,0,0,0,0,0.65,0,4.23,0.83,0,0
 48-58,0,0,18.81,3.98,0,0.4,0,0.81,0,0,0,0,0,0,1.5,0,0,0.59,7.97,0,0.5,0,0,0,0,0,1.37,1.7,0,0
 60-70,0,0.67,43.32,12.52,0,0,2.5,1.23,0,0,0,0,0,0,3.21,0,0,0,40.45,0,0,0,0,0,0,0,1.19,2.37,0,0
 72-82,0,0.98,646.06,32.74,2.25,0,0.75,0,1.61,0,0,0,4.01,0,7.43,1.01,0,2.29,27.87,0,0,0,2.41,0.72,0,0,1.37,2.35,0,0
 84-94,0,0,500.7,0,0,0,0,0,1.36,0,3.49,0,0,0,6.65,1.18,1.65,1.89,19.35,0,0,0,0,0,0,0,0,0.57,0,9.28
 96-106,0,1.43,998.35,0,0,0,0,0,0,1.33,3.95,0,0,15.13,12.51,0,0,0,41.27,0,0.76,0,0,4.26,0,0,0,2.16,2.3,3.81
108-118,0,1.86,499.79,2.7,0,0,0.72,2.11,0,0,2.81,1.25,0,0,13.25,2.75,0.92,0,15.09,0.93,0,0,0,0,0,0,0,2.85,0,0
120,0,0,530.81,8.62,0,0,0,12.45,0,0,0,0,0,0,8.86,0,0,0,12.72,0,0,0,0,1.27,0,0,1.95,5.77,0,0
