stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,16.61,0,0,0,0,0,0,0,69.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.79,0,0,0,0,0,0,0,11.58,0,0,0,0,0,0,0,97.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,9.25,1.06,0,0,0,0,0,5.06,0,0,0,0,0,0,0,21.19,0,0,1.65,0,9.36,0.99,0,0,11.65,0,0,0,0,0
 24-34,0,0,2.11,0,0.62,0,0,0,0,0,0,0,0,0,2.59,1.24,0,62.04,0,1.26,0,0,12.15,0,0,1.35,25.85,0,0,0,0,0
 36-46,0,0,0.59,0,1.01,0,0,1.3,0,0,0,0,0,0,4.99,0.65,2.83,176.47,0.97,2.22,0.57,0,14.07,0,0,0,35.21,0,0,0,0,0.82
 48-58,0,0,2.32,0,8.66,0.52,0,4.09,0,0,0,0,0,7.08,0.45,1.25,0,217.32,0,1.41,0,0,5.33,0,7.59,0,44.4,0,0,1.85,0,0
 60-70,0,0,4,0,43.71,0,0,4.11,0,0,0,4.97,0.61,0,10.25,0,0,369.53,0,0,0,0,0,0,0,0,34.65,0.61,0,2.38,0,0
 72-82,0,0,8.71,0,25.69,0,0,7.64,0,0,1.42,0,0,0,4.69,0,0.63,572.88,0,0,0,0,4.22,0,0,0,39.13,0,0.49,4.87,0,0
 84-94,0,0,2.94,0,25.33,0,0.56,8.32,1.94,0,0,0,0,0,1.76,0,6.42,339.5,0,1.1,3.73,0,4.25,0,0,0,43.68,4.06,0,0,0,0
 96-106,0,0,8.52,0,29.79,0,0,17.63,0.85,0,1.53,0,1.26,0,5.77,0,0,430.74,0,0.94,0.65,0,7.7,0,0,0,27.17,0.81,0,3.28,0.96,0
108-118,0,0,14.05,1.94,24.32,0,0,7.76,1.27,0,0,0,6.38,0,0.57,0,0,431.69,0,2.27,6.34,4.05,1.05,0,0,0,8.2,0.91,0,0,0,0
120,0,0,0,0,17.83,0,0,16.42,1.33,0,0,0,0,0,4.77,0,0,527.98,0,1.15,0,0,0,0,0,0,1.64,2.31,0,0,0,0
