stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.67,154.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,0,0,0,0,0,0
  5-6,0,141.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.92,0,0,0,23.13,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.75,0,0,0,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.42,7.29,0,0,84.59,0,4.36,314.71,0,10.82,0,0,0,0,0,0
 14-21,0,0,0,8.02,84.73,1701.49,0,36.67,0,0,0,4.2,1.67,22.01,383.26,98.69,0,0,43.73,8.22,95.28,9.32,0,136.43,463.25,1.86,0,23.5,2.46,22.91,514.58,214.73,24.28,9785.95,160.23,0,0,532.3,0,0
 24-34,0,0,1.56,0.68,19.39,108.61,0,21.55,0,0,0,4.82,1.34,16.44,421.12,480.18,0,0,53.23,2.27,41.29,8.53,0,42.5,277.63,0.59,0,1.6,1,3.57,4.95,135.7,1.01,1588.35,148.05,0,0,1206.43,0,0
 36-46,0,0,0,0,1.53,16.94,0,27.04,0.65,0,0,4.61,0.57,5.47,555.21,185.51,0,0,23.21,1.09,42.03,9.04,0,12.87,215.62,1.32,1.21,0,0,5.68,0,20.55,0,15.29,146.93,0,0,420.06,0,2.27
 48-58,0,0,0,0,0.95,0.67,0,41.74,0.56,0,0,3.52,0,16.62,345.71,94.25,5.36,0,27.52,2.02,22.79,10.03,1.17,4.64,158.93,2.65,0.48,0,0,1.33,0,3.39,0,0,88.11,0,0,229.8,0,0
 60-70,0,0,0,0,15.73,9.42,0,77.25,0.63,0,0,14.11,0,5.74,662.11,158.07,0,0.63,9.26,0,24.96,0,0,1.56,176,0.75,0,6.48,0,2.13,0,5.62,0,0,51.24,0,0,190.27,0,0
 72-82,0,0,1.04,0,8.97,13.48,0,51.15,8.43,0,5.78,30.38,1.81,13.03,618.11,171.27,4.18,0,5.97,0,45.89,10.43,0,1.31,113.37,0.58,0,1.61,0,0,0,11.09,0,0,37.01,0.53,0,241.87,0,0
 84-94,0,0,0,0,24.82,23.99,0,69.1,0,13.24,1.33,7.73,7.51,7.25,1006.3,356.06,0,1.51,13.27,0,14.15,26.91,1.17,2.77,79.83,0.65,7.23,3.15,0,0,0,10.83,0,0,10.9,0,0,192.05,0,17.96
 96-106,0,0,2.86,0,71.56,17.37,1.46,83.24,0,6.21,0,23.02,10.81,7.52,1102.89,379.59,0.58,25.25,11.61,0,40.68,5.24,3.87,0.83,146.04,0,19.08,4.54,0,2.24,0,16.16,0,0,7.95,0,0,360.12,4.52,0
108-118,0,0,0,0,40.06,2.61,12.13,80.02,0,5.46,1.44,29.65,23.59,7.66,1157.28,453.41,2.13,21.3,0,0,29.8,9.89,0.75,1.68,217.48,0.59,17.45,14.71,0,0.96,0,10.89,0,0,12.15,1.8,3.42,330.42,1.05,0
120,0,0,0,0,24.9,3.71,0,41.26,0,7.25,0,31.12,23.55,0,1365.66,152.05,0,4.37,0,0,19.49,0,6.89,1.03,138.8,0,7.68,0,0,1.47,0,1.66,0,0,2.54,0,0,239.05,0,0
