stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,4.45,0,6.32,0,0,15.76,0,0,0,0,0,0,0,0,0,0,0,0,0,23.44,0,0,24.25,0,0,0,0,0,0,0,0
 10-12,0,0,14.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.75,0,0,21.54,0,0,0,0,0,0,0,0
 14-21,0,0,0,9.13,0.83,0.86,0,0,0,1.43,0,0,0,0,0,0,2.13,0,5.46,52.17,1.18,0.93,3.33,0,0,9.27,4.8,8.45,0,0,0
 24-34,0,0,0,2.52,0,3.12,0.68,1.29,0,0.83,0,1.36,0,1.31,1.04,0,2.53,0,3.61,39.85,0,0,0,0,0,0,0.59,9.13,0,0,0
 36-46,0,0,0,0.77,0,4.74,0,5.89,0,0,0,0,0,0,0,3.17,5.94,0.89,0.88,32.67,0,0,0,0.7,0,0,0,16.62,0,0,0
 48-58,0,0,0,1.41,0,6.84,0,0,0,0.44,0,0,0.97,0.45,0,0,7.72,0.42,4.66,46.78,0,0,0,0,0,0,0,9.44,0.44,0,0
 60-70,0,0,0,0.9,0,10.33,0,0.63,0.68,0.99,0,0,0,0,0,0,8.63,0,0.75,85,1,0,0,0,0,0,0,10.88,1,0,0
 72-82,0,0,0,5.2,0.72,17.52,0,1.86,1.1,4.67,0,0,0.57,0,0,0,18.78,0,2.19,84.96,0.51,0,0,0,1.65,0,0,11.81,0,1.16,0.67
 84-94,0,2.22,0,7.63,0,43.58,0,1.21,1.14,9.38,0,0,0,2.1,0,0,17.79,0,2.49,84.89,3.98,1.35,0,1.98,0,0,0,9.15,0,0,0.57
 96-106,0,0,0,3.42,0,15.21,0,0.59,0,2.72,2.01,0,0,0,0,0,6.58,0.67,0.89,46.58,2.06,0,0,0,0,0,0,2.21,0,0,1.63
108-118,0,0,0,1.35,0,10.83,0,1.85,1.72,3.68,0,0,1.45,0,0,0,29.82,0,2.53,120.05,1.24,0,0,0,0,0,0,0.95,1.17,0,1.19
120,0,0,0,2.81,0,5.4,1.99,0,0,19.76,0,0,0,3.15,0,0,22.59,0,2.37,138.44,2.06,0,0,0,0,0,0,4.48,0,3.6,0
