stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,88.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,38.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,21.4,0,0,4.36,0,0,0,0,0,0,0,0,0,0,0,0,63.22,0,0,0,27.74,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,14.04,0,0,0,0,0,0,0,0,0,0,0,0,92.01,5.2,0,0,34.72,0,0,0,3.29,0,0,0,0,0,0,0
 14-21,0,0,0,2.89,2.85,0,4.77,0,0,0,0,0,0,0,0,4.86,0,0,1.21,70.73,2.41,0,0,0.82,0,3.51,21.83,0,15.4,19.76,0,0,0,0,0
 24-34,0,0,0,0,0,0,12.49,0,0.61,2.62,0,0,0,0,0,2.65,0,0,3.33,214.33,0,9.58,0,0,0,0.75,0,0,0,51.06,0,0,1.3,0,0
 36-46,0,0,0,0,1.07,0,8.65,0.58,0.64,18.4,0,0,5.79,0,0,0,0,0,1.63,821.23,2.72,5.94,0,0,0,1.45,0,0,0,121.41,0,0,1.09,0,0
 48-58,0,0,0,0,1.58,0,100.76,0,0.41,36.95,0,1.74,0,0,0,10.78,0,0,0.77,1316.27,1.97,1.18,0,0,0,0,0,0,0,96.09,0,0,0,0,11.55
 60-70,0,0,0,0,1.02,0,506.89,3.43,0,96.1,0,0,0,0,0,18.31,0,0,1.82,2111.46,0,5.88,0,0,0,0,0,0,0,255.35,0,0,0,0.77,0
 72-82,0,0,0.56,0,7.11,0,639.48,0,1.24,129.84,0.56,0,0,0,0.57,35.89,0,5.44,2.21,1972.96,0,2.32,2.43,0,1.53,5.85,0,0,0,157.26,0,0.49,3.63,4.08,4.09
 84-94,0,0,0,0,5.69,0.57,424.63,0,8.01,102.04,0,0,0,0,0,22.69,0,1.38,2.43,1206.1,9.41,0,2.08,0,0,2.45,0,0,0,82.69,0,1.23,0.78,0.62,0
 96-106,0,0,0,0,3.08,0,535.18,0,0.64,86.24,0,0,0,0,0,23.63,0,2.61,0,1202.85,0,3.5,0.75,0,0,6.05,0,0,0,35.85,1.22,0,0,2.18,0
108-118,0,0,1.39,0,13.43,0,401.85,0.5,0,82.92,0.73,0,0.79,2.35,0,29.4,1.14,0,1.14,1138.87,0,0,2.68,0,2.98,0,0,0,0,38.05,0.84,0.86,0,5.66,2.03
120,1.19,0,0,0,20.89,0,269.86,1.21,4.72,118.74,0,0,5.71,0,11.11,28.73,3.22,0,0,1060.07,0,0,0,0,0,0,0,0,0,42.91,0,0,0,3.36,0
