stage,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0.9,5.26,1.19,0,0,0,1.06,0,0,0,0,0,0,1.07,3.28,0,2.01,49.15,0,1.85,2.3,1.66,0,2.7,6.49,1.05,6.52,17.88,0,0,0
 24-34,0,0,5.65,8.17,0,1.07,0,3.65,0,0,0,0,0.63,0.74,0.64,4.71,0,0.68,89.87,1.66,0.87,2.47,0,0,5.06,0,0,0,19.77,0,4.8,0
 36-46,0,0,2.53,19.55,1.91,0,0,4.99,0,0,0,0,0,0,0,7.48,0,2.42,77.31,0,1.02,0,0,0,0.9,0,0,0,16.93,0,1.32,0
 48-58,0,0,0.53,22.55,0,0.69,0,8.66,0,0,0,0,0,0,4.89,16.46,0.72,4.19,55.49,0,0.41,1.31,0,0,1.82,0,0,0,12.32,0,0,2.73
 60-70,1.1,0,2.23,17.46,0,0,0,7.49,1.93,0,0,0,0,0,0,17.15,0,0,37.2,0,0,0,0,0,1.59,0,0,0,2.7,4.5,11.13,0
 72-82,0,0,1.16,20.12,1.29,0.51,0.74,9.38,0,0.51,0,0,0,0,0,6.36,0,1.23,30.37,0.51,0,0,0,0,0.62,0,0,0,4.84,4.17,2.61,0
 84-94,1.44,0,0,6.54,0,0,0,4.88,0.66,2.41,0,1.2,0,0,0,2.22,0,1.3,25.09,0,1.95,0,0,5.06,1.66,0,0,0,1.9,0,4.87,0
 96-106,0,0,1.12,13.34,0,0,0,2.62,1.61,0,0.89,0,0,0,0,4.46,0,0.95,10.28,0,0.71,0,0,0,1.78,0,0,0,0,0,0,0
108-118,0,0,0.43,4.96,0,0,0,4.07,0.69,0,0,0,0,0,0,5.53,0,0,18.72,0,0,0,0,0,0.47,0,0,0,3.53,0,0.44,0
120,0,0,0,0,0,0,0,3.36,0,0,0,0,0,1.26,0,3.25,6.66,0,13.27,0,0,1.43,0,0,0,0,1.56,0,12.72,2.35,0,0
