stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,33.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.33,0,0,9.15,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.13,0,0,0,0,0,0,0,0,0
 14-21,0,0.87,14.73,1.83,3.08,0,0,0.98,0,0,0,1.01,1.74,0,0,0,28.69,0,0,1.46,0,4.85,0,6.21,4.53,0
 24-34,0,0,0.84,0,2.95,0,1.35,0,0,0,0,1.37,4.06,0,0,1.03,12.14,0,0.78,0,0,0,0,0,4.25,0.82
 36-46,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0.95,0,0,12.08,0.62,0,0,0.68,0,0,0,1.19,0
 48-58,0,0,0,0,1.52,0,2.07,2.18,0,0,2.18,0,3.17,0,0,0.58,6.53,0,0.39,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,1.37,0,0,0,1.48,0,1.56,0,0,0,0,0,4.88,0,0,0,0,0,0,0,1.39,0
 72-82,0,0,0,0,7.16,0,1.87,0.57,0,0,0,0,0,0,0.87,0,7.84,0,0,0,1.19,0,0,0,0,0
 84-94,0,0,2.43,0,1.15,1.15,0,0.73,1.38,0,0.61,0,2.25,0,0,0,3.54,2.29,0,0,1.99,0,0,0,0,0
 96-106,0,0,1.22,0,0,0,0.84,0.85,0,2.23,0,3.61,1.86,0.68,0,2.26,8.5,0,0,0,2.45,0,1.88,0,0,0.83
108-118,0,0,4.34,0,0.5,0.6,4.68,0.82,0,0,2.53,0,0,0,0,0.55,5.17,0,0,0,0.58,0,0,0,0,0
120,0,0,2.93,0,1.93,1.09,0,0,0,0,0,0,1.42,0,0,0,1.34,0,0,0,3.46,0,0,0,0,0
