stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,99.98,1915.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7,0,0,0,0,0,0
  5-6,433.18,3660.19,10.26,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,115.51,0,0,0,50.16,73.71,0,0,0,0,0,0
  7-9,100.14,113.47,153.37,0,0,352.41,0,0,0,0,212.57,0,0,0,0,0,0,0,0,0,0,4473.74,67.34,0,0,1716.97,18.76,91.46,0,0,0,0,0
 10-12,4.89,91.97,113.26,0,27.21,119.93,0,0,0,0,37.56,0,0,0,0,0,0,0,0,0,0,2225.46,30.07,0,0,768.9,6.67,24.28,0,75.53,3.11,0,0
 14-21,0,0,2.38,8.65,1.14,0,0,0,0.95,0,2.29,0,0,0,0,0,0,1.22,0,0,2.52,57.93,7.69,0,0,1.09,0,1.12,8.06,0.86,5.98,7.05,2.43
 24-34,0,0,0,3.1,0.64,44.57,0.68,0,2.72,0,0,1.24,0,0,0,0,0,17.85,0,0,3.22,268.41,1.13,0,1.6,0,6.02,0,0,0,0.59,38.69,7.14
 36-46,0,0,0,11.99,0,112.21,0,0,5.06,0.72,0,0,0,0,0,0,0,13.05,0,0,1.58,248.18,3.79,0,0,0,7.85,0,0,0,0,36.44,1.32
 48-58,0,0,0,1.21,0,112.86,0,0,7,0,0,0,0,0.55,0,0,1.04,11.18,0.52,0,1.04,83.49,0,0,0.37,0,1.9,0,0,0,0,24.48,0
 60-70,0,0,0,8.02,0,136.28,0,0.87,6.04,0,0,0,0,1.02,2.09,0,0,44.26,0,0.81,2.21,83.25,0,0,0,0,3.31,0,0,0,0,5.94,1.59
 72-82,0,0,0,0,0,23,0,0,3.79,0,0,0,0,0,0,0,0,7.09,0,1.4,0,35.49,0,1.29,0,0,0,0,0,0,0,1.41,0
 84-94,0,0,0,0.71,2.86,27.24,0,0.59,0.84,0,0,0,0,0,0,0,0,25.54,0,0.82,1.22,14.53,0,0,0.92,0,4.78,0,0,0,0,0,2.16
 96-106,0,0,0,0,0,6.68,0,0,2.8,0,0,0,0,0,0,0,0,1.6,0,0,2.01,6.77,0,0,0,0,0,0,0,0,0,0,0.71
108-118,0,0,0,0,2.93,5.52,0,0,6.92,3.25,0,0,0,0,0,0.84,1.5,2.41,0,1.51,0,20.57,0,0,1.01,0,0.93,0,0,0,0,2.81,0.64
120,0,0,0,1.27,8.91,36.2,0,0,4.01,3.28,0,0,3.77,0,0,0,0,5.85,0,0,1.52,54.84,0,0,3.28,0,0,0,0,0,0,0,0
