stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature
  3-4,41.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0
  7-9,0,0,0,0,9.32,0,0,0,0,0,0,0,0,24.73,3.62,0,0,7.68,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,22.88,0,0,0,6.25,0,0,0,0,0
 14-21,0,0,1.82,0,0,0,0,0,0,0,0,0,0.88,1.63,0,0,0,0,0,0.87,0,2.09,0
 36-46,0,0,0,0,0.71,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0.71,0,0,47.41,0,0,0,0,0,0,0,0,1.02,0,1.42,0,0,0,0,0,0,0
 72-82,0,0.84,0,0,192.87,0,0,0,0,0,0,4.94,0,9.54,0,0,0,0,0,0,0,3.88,0
 84-94,0,0.55,0,0,356.54,0,6.55,0,0,0.66,0,2.7,0,4.49,0,0,0,0,0.59,0,0,0,0
 96-106,0,1.75,1.4,0.56,511.23,0,0,6.89,0.94,1.89,6.2,0.8,0,19.2,0,0,1.66,0,2.1,0,1.79,0,0
108-118,0,0.41,0,0,657.57,0,0,1.91,0,0,2.66,3.15,0,14.57,0,0,0,0,0,0,0,0,0.42
120,0,4.08,13.95,0,1086.13,4.42,0,0,0,0,0,0,0,54.32,0,0,0,0,1.98,0,0,0,0
