stage,blastomeres,eye,hatching.gland,neural,pgc
  5-6,32.95,0,0,0,0
  7-9,0,3.62,3.78,4.81,0
 10-12,4.72,6.36,0,10.41,5.62
 48-58,0,0.53,0,0,0
