stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,68.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.95,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,33.23,0,0,0,26.85,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.55,0,0,0,35.71,0,0,0,0,0,0,3.51,0,0,0,0,0
 14-21,0,1.41,0,13.27,0,0,2.72,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0.81,0,0,0,85.24,16.13,9.7,0.84,0,0,0,0,25.45,0,0,118.21,0,0,0,0,0
 24-34,0,0,0.59,8.47,0,0,11.06,0,0,0,4.04,0,0,0,0,37.08,0,0,0,0,6.9,0.79,0,0,884.62,6.86,106.67,2.08,0,0,2.09,0,10.3,0,0.64,393.88,0,0,4.75,0,0
 36-46,0,0.73,0,10.01,4.05,0,36.68,0,0,0,31.12,0.72,0,0,0,3,0,0,0,0,3.5,1.07,0,0,2291.14,4.67,80.52,1.31,0,0,0,0,5.31,0,0,537.23,0,0,2.8,0,3.23
 48-58,0,0.68,0,12.96,0,0,179.5,0,1.52,0.4,119.75,1.17,0.49,0.51,0,0.61,0.62,0,1.98,0,17.8,0,0,4.64,3076.97,0.55,58.8,0.41,3.66,0,6.41,0,0,0,0,561.62,0,0,5.67,0,9.08
 60-70,0,0,0,9.21,3.31,0,263.47,0,4.93,0,125.16,0,0.66,1.74,4.2,1.31,0,0,0,0,13.48,0,0,2.29,3985.3,0,55.01,3,0,0,4.27,0,3.29,0,0,364.66,0,4.4,3.74,0,7.73
 72-82,0,4.44,0,15.82,3.01,0,534.6,2.3,0,0.62,166.94,2.75,0,1.07,1.29,0.54,1.65,0,1.6,0,45.93,0,0,2.19,4297.19,0,84,0.75,0,2.48,0,0,3.16,0.64,0,377.74,1.21,5.64,14.34,0,33.22
 84-94,0,3.83,0,11.17,7.8,10.69,390.33,0.68,0.68,0,118.36,1.17,0.99,0,2.78,6.62,0.67,0,0,0,40.65,0,1.64,1.29,3256.89,3.47,93.31,0.64,0,7.18,5.11,1.4,3.03,0,0,224.83,0.9,5.6,24.05,0,7.75
 96-106,0,1.79,0,20.83,2.48,0,336.82,0.62,1.19,9.18,125.67,0,0,0.92,4.36,7.87,0.76,0.84,22.02,1.06,36.42,0,3.24,0.59,2766.17,0,92.82,2.02,0,5.33,10.33,0,2.39,0,0,141.38,0,1.23,20.81,1.91,6.58
108-118,0,5.38,0,18.56,4.03,0,370.51,4.79,0,0.5,101.53,0.43,0,0,0,3.01,1.01,0,0,0,41.61,0,1.4,1.41,4008.25,0,61.62,2.44,0,4.35,5.53,0.42,0.94,0,0,104.48,1.22,0,20.22,3.31,0
120,0,0,0,20.04,0,0,326.7,0,3.58,0,154.34,5.33,0,5.1,1.14,5.92,0,1.74,0,0,51.43,0,0,2.04,4959.53,17.97,34.9,0,0,12.66,3.95,0,3.15,0,0,171.28,0,0,30.02,11.83,0
