stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.12,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,106.81,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,33.51,0,0,0,0,0,0,0,1.4,0,0,0,0,4.72
 24-34,0,0,0,0,0,102.18,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,24.4,0,0,0,0,0,0,0,2.43,0,0,0,0,2.99
 36-46,0,0,0,0,0,124.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,0,0,0,0,0,0,0,5.1,0,0,0,0,15.92
 48-58,0,0,0,3.01,0,262.17,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,2.55,34.38,0,0,0,0,0,0,0,3.71,0,0,0,0,26.16
 60-70,0,10.54,0,0,0,2296.33,0,0,0,3.87,0,0,12.16,0,0,0,0,0,0,0,0,0,27.49,0.68,0,0,0,0,0,0,0.67,0,0,3.63,1.92,9.49
 72-82,0,0,6.7,3.31,0,2675.82,1.11,5.06,0.93,16.04,0.74,0,0,0,0.57,0,0,0,20.26,0,2.6,1.59,124.95,0,1.42,0,0,5.74,0,3.02,27.35,2.31,4.27,2.95,1.44,3.47
 84-94,0,1.23,4.33,39.11,0,11429.09,0,1.79,1.39,19.1,0,0,5.75,1.65,4.87,0.59,11.94,0.56,60.25,0,5.49,2.35,351.6,5.17,0,4.25,1.68,58,0.64,12.95,29.07,3.5,0,27.29,0.67,60.3
 96-106,0,5.6,40.1,35.11,0.8,11760.37,0.69,2.12,19.8,86.73,2.08,4.74,20.5,4.16,5.88,3.85,50.91,11.15,118.39,1.79,18.73,9.59,417.5,1.21,8.02,0.68,6.79,55.97,0.61,0,23.61,2.04,5.61,12.5,5.48,32.49
108-118,0,0,29.41,23.21,7.87,16542.79,3.35,1.72,9.32,49.27,4.87,0,8.93,5.71,12.04,4.33,14.49,1.29,125.16,5.97,5.25,13.04,432.53,2.88,8.04,5.37,7.41,47.88,1.04,0,5.16,0.85,0.43,18.04,6.25,28.51
120,0,0,36.61,22.62,0,6840.51,0,3.01,17.2,65.73,10.27,0,51.07,0,0,1.07,8.98,0,145.72,0,6.92,19.79,288.07,3.25,0,1.66,5.5,4.98,0,0,30.3,0,0,0,3.15,2.85
