stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,1119.08,19350.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939.33,0,0,0,0,0,0,0,0
  5-6,1237.87,12893.9,0,0,0,0,0,0,0,0,30.34,0,0,0,0,0,0,0,436.92,15.43,0,66.45,0,284.16,0,0,0,0,0,0,0,0
  7-9,146.18,90.94,195.28,0,0,316.42,0,0,0,0,94.5,0,0,0,0,0,0,0,3708.29,128.91,0,1295,0,8.07,19.77,0,0,0,0,0,0,0
 10-12,0,18.31,46.94,0,16.52,167.87,0,0,0,0,29.85,0,0,0,0,0,0,0,885.22,40.65,0,319.27,0,0,4.37,0,32.35,0,9.81,0,0,0
 14-21,0,0,0,11.25,0,0.82,0,0,0,0,0,0,0,0,0,1.99,0,1.1,17.46,1.05,0,0,0,0,0,4.13,0,4.54,3.07,0,0,0
 24-34,0,0,0,6.19,0,0,0.64,0,0,0,0,0.67,0,0.76,3.71,9.41,0,1.48,15.03,0.93,1.26,0,0,0.77,0,0,0,0,4.67,0,0,0
 36-46,0,0,0,3.35,0.6,1.31,0.87,0,2.22,0,0,0.63,0,0.67,0,10.75,0,2.1,25.52,0,2.87,0,0,0,0,0,0,0,3.55,0,0,0
 48-58,0,0,0,4.77,0,0,0,1.31,0.63,0.89,0,0.88,0,0,0,11.28,0,4.03,8.45,0,0.86,0,0,0,0,0,0,0,0.75,0,0,0
 60-70,0,0,0,0,0,1.11,6.47,0,1.08,1.75,0,0,0,0,0,6.27,1.78,1.87,1.7,0,2.25,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,4.38,1.55,2.3,0.78,0,2.45,0,0,0.51,0,4.54,0,7.84,3.05,0.7,2.77,0,0.76,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.57,2.81,2.01,0,1.44,0,0,0,1.81,0,2.03,1.31,0.76,6.72,1.49,0,0,0,0,0,0,0.74,0,0,2.04,0,0
 96-106,0,0,0,1.64,0,12.41,1.72,0,1.7,0.81,0,0,0.91,0.82,0,15.7,0,0.79,0,0,6,0,1.44,0,0,0,0,0,1.76,0,0,2.97
108-118,0,0,0,1.98,0,1.26,0,3.81,0,1.78,0,0,0,0,0.51,26.57,0.98,0,13.89,0,0,0,6.37,0,0,0,0,0,0,0,0.61,7.19
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,3.7,0,2.48,0,0,0,18.35,0,0,0,0,0,0,0,0,1.16
