stage,blastomeres,epidermis,eye,fast.muscle,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature,xanthophores
  3-4,28.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.76,0,0,0,0,0,0,11.95,0,0,10.92,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,50.61,0,13.56,10.74,0,0,0,0,0
 14-21,0,0.88,0,0,0,0,0,1.8,0,0,0,0,0,2.45,0,0,5,0,0,2.05,0,0
 24-34,0,0.59,0,0,0,0,0,0,1.3,0,0.66,0.68,0,15.49,0,0,20.83,1.06,0,2.35,0,0
 36-46,0,0,0.78,0,0,0,0,0,0,0,0,0.72,0,10.97,0,0,9.77,0,0,3.47,0,0
 48-58,0,0,0,0,1.22,0,0,0,0.39,0,0,0.99,0,10.46,0,0,9.03,0,0,0.73,0,0
 60-70,0,0.72,4.09,0.58,2.28,0,0,0,0,1.94,0,1.75,0,5.84,1.02,0,36.3,0,0,8.17,0,1.82
 72-82,0,1.08,8.09,0,19.65,0,0,0.59,0,0.83,0,4.01,0,12.17,0,0,10.17,0,0,0,0,0
 84-94,0,0,6.89,0,10.13,0,0,0,1.45,0,0,4.47,0,2.5,0,0,10.46,0,0,0,0,0
 96-106,0,0.69,13.32,0,20.21,0,0,0,0,0,0,6.38,0.56,1.74,0,0,17.31,0,0,10.61,0,0
108-118,0,0,8.36,0,18.09,3.25,0,0.5,0.8,1.77,0,6.05,0,6.43,0,0,20.97,0,0.87,0,0.77,0
120,0,0,3.92,0,0,1.24,0,2.66,0,0,9.22,3.7,0,16.76,0,0,22.11,0,1.13,0,2.15,0
