stage,axial,blastomeres,endocrine.pancreas,eye,neural,otic,paraxial.mesoderm,periderm,somites,xanthophores
  3-4,14.43,367.21,0,0,0,0,0,27.57,0,0
  5-6,11.63,95.39,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,15.22,0,3.93,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.82,0
 24-34,0,0,0,0,0,0,0,0.85,0,0
 36-46,0,0,0,2.84,0,0,0,0,0,0
 60-70,0,0,0,2.87,0,0,0,0,0,0
 72-82,0,0,0,0.68,1.69,0.95,0,0,0,7
 84-94,0,0,0,0.71,0,0.59,0,0,0,0
 96-106,0,0,0.81,15.74,0,3.23,0,0,0,0
108-118,0,0,0,0,1.54,0,0,0,0,0
120,0,0,0,0,0,6.31,0,0,0,0
