stage,axial,blastomeres,eye,hatching_gland,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,11.43,113.77,0,0,0,0,0,0
  5-6,17.67,143.29,0,0,6.35,0,19.45,0
  7-9,0,0,6.9,4.31,20.78,9.99,0,0
 36-46,0,0,0,0,0,0,0,1.85
 48-58,0,0,0,0,1.11,0,0,0
 60-70,0,0,1.5,0,0,0,0,0
