stage,blastomeres,erythrocytes,eye,fin.epithelia,glial,hatching.gland,liver,mesenchyme,neural,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste
  5-6,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.24,0,0,11.49,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0
 24-34,0,0,0,0,0.6,0,0,0,0.9,0,0,0.65,0.62,1.75,0
 36-46,0,0,0,0,0,0,0,0,1.91,0,0,0,0,2.36,0
 48-58,0,0,3.93,1.47,1.83,0,0,0,2.13,0,0,0.72,0,0,0
 60-70,0,0,0,0,0,0,8.92,0,6.55,0,0,0,0,9.91,0
 72-82,0,0.69,0.8,0,0,0,0,0,9.6,1.39,0,0,0,0,1.58
 96-106,0,0,0,0,0,0,0,0.6,0,0,0,1.56,0,0,0
108-118,0,0,0,0,0,0,0,0.59,5.49,0,0,0,0,0,0
120,0,0,3.88,0,0,0,0,6.41,13.27,0,0,1.1,0,0,0
