stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord
  3-4,20.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,56.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,20.84,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.01,0,0,0,0,0,12.07,0,0,0,1.13,0.93,1.83
 24-34,0,0,0.62,0.6,0,4.53,0,0,0,0,0,11.56,1.38,0,0,0,0,6.42
 36-46,0,0,0,0.94,0,3.5,0,0,0,0.91,0,9.02,1.67,0,0,0,0,8.41
 48-58,0,3.38,0,0.46,4.66,1.42,0,0,0,0,0.54,16.29,2.25,0,0,0,0,9.98
 60-70,0,0,0,1.2,0,0,0,0,0,0,0,17.03,0,0,0,0,0,9.73
 72-82,0,0,0.93,5.06,0,2.72,0,0,2.67,0.56,0,20.29,2.57,0,0,0,0,1.76
 84-94,0,0,0,0.73,0,5.16,0,1.16,0,3.02,0,1.66,1.92,0,0,0,0,0
 96-106,0,0,0,0,0,1.25,0,0,0,0,0,1.59,1.76,0.93,0.96,0,0,0.67
108-118,0,0.44,0,3.22,0,0,0,4.05,0,0,0,10.54,0.8,0,0,0.64,0,0.81
120,0,1.76,0,0,0,0,1.31,1.77,0,2.49,0,2.11,0,3.98,0,0,0,1.53
