stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,13.45,287.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.19,186.05,0,0,0,0,0,0,0,0,0,0,0,0,0,21.14,14.56,0,0,8.05,0,0,0,0,0
  7-9,0,0,0,0,0,19.39,0,4.17,0,0,0,0,0,0,0,109.03,4.1,0,0,56.05,0,0,0,0,0
 10-12,0,5.43,34.31,0,4.44,36.18,0,0,0,0,0,0,0,0,0,469.67,0,0,0,134.19,0,22.45,0,0,0
 14-21,0,0,0,7.67,1.05,1.01,0,0,1.26,0,0.8,0,0,0,4.73,32.84,4.73,0.83,0,0,0.81,0,2.21,4.7,0
 24-34,0,0,0,1.06,0,1.37,0,0,0,0,0.63,0,3.11,0,1.35,38.76,0,0,0.63,0,0,0,1.58,13.06,0
 36-46,0,0,0,0,0,7.26,0,0,0,0,0,9.72,2.15,0,0.58,29.77,0,0,0,0,0,0,0,8.04,0
 48-58,0,0,0,0,0,9.37,2.45,0,0,0,0,0,3.91,0.46,0.38,14.07,0,0,0,0,0,0,0,3.27,0
 60-70,0,0,0,0,0,5.39,1.68,0,0,0,0,0,3.19,0,0,1.89,0,2.4,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.17,0.8,0,0,0,0,0,2.02,0,1.31,4.2,0,0,0,0,0,0,0,1.43,0
 84-94,0,0,0,2,0,3.69,1.86,0,0,0,0,0,2.94,0,0,6.5,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.97,1.45,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0.58,0.71
108-118,0,0,0,0,0,0.43,0,0,0,0.71,0,0,1.52,0,0,6.71,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.84,3.59,0,0,0,0,0,0,2.1,0,0,0,0,0,1.05,0,0,0,0,19.88,0
