stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,otic,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,103.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,65.78,261.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.99,0,0,3.79,0,0,0,0,0,0,0
 10-12,0,0,8.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,2.48,0,1.47,0,0,6.38,0,0,0,0,0
 24-34,0,0,0,1.01,0,1.61,0,0,0.79,0,0,0.96,0,0,0,0,0,12.86,0,0,0,0,0,1.74,0,0,0,0
 36-46,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0
 48-58,0,0,3.44,11.15,0,0.68,0,0,0,0,0,0,0,0,0,0,0,20.56,0,0,0,0,0,0,0,0,0,3.02
 60-70,0,0,31.48,0,0,6.47,0,0,0,0,1.09,0,0,0,1.56,0,0,2.87,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,84.43,3.13,0,14.17,2.09,7.73,0,0,0.5,0,0.68,0,5.19,1.76,0,89.86,0.76,0,0,0,0,0,0,4.2,0,0
 84-94,0,0,170.13,0,0,0,0,0,0,0,1.08,0,0,0,6.14,0,0.81,6.82,0.58,0,0,0,0,0,0,0,0,0
 96-106,0,0,134.12,0,0,25.74,0,1.37,0,0,1.3,0,0,18.25,23.85,0,0,6.27,0,9.14,0,0.78,0,0,0,0,0,0
108-118,0,0,757.09,70.83,7.76,23.55,1.41,2.93,1.47,0,1.7,0,1.24,0,11.52,1.4,0,18.24,1.66,2.13,0,0,0,0,2.32,0.45,2.93,0
120,0,0,146.78,0,0,14.12,0,0,0,0,0,0,0,0,1.84,0,0,11.06,0,0,0,0,0,0,0,0,0,0
