stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste
 10-12,16.82,0,0,0,0,0,0,0,0,0,9.08,0,0,0,0,0,0
 14-21,0,1.81,0,55.49,0.91,1.98,0,0,3.5,0,28.68,0,0,3.51,0,7.13,0
 24-34,0.63,2.97,1.35,257.54,0,0,0,1.24,3.36,1.26,109.99,0,0,0,5.14,19.24,0
 36-46,1.11,3.7,0,239.79,0,0.73,0,0,0.93,0.83,55.89,0,0,1.43,0,4.07,0
 48-58,1.16,6.7,0,90.58,0,0.94,0,5.26,3.78,0.43,5.18,0,0,0,0,0.99,0
 60-70,0,2.95,0,30.78,0,1.52,0,0,2.42,0,2.55,0,0,0,0.73,0,0
 72-82,0,1.26,0,20.72,0,0,0.6,0,0,0,0,0,0,4.23,0.5,0,0.5
 84-94,0,0,0,27.71,0,0,0,0,0,0,0.76,0,2.88,0,4.23,1.19,0
 96-106,0,3.47,0,28.75,0,1.43,0,0,0,0.56,3.6,0,0,0,0,0,0
108-118,0,1.33,0,27.02,0,0,0,0,0,0,0,0.77,0,0,1.41,0,0
120,0,0,3.03,42.31,0,5.79,0,0,0,0,0,0,0,0,0,0,0
