stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,mesenchyme,neural,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,119.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.55,34.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.79,0,0,5.15,0,0,0,0
 10-12,0,0,0,20.3,3.55,0,0,0,0,14.51,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,3.12,0,0,0,0,0.83,0,0
 24-34,0,0,0,0,0,0,0,0,5.11,0,4.32,0,0.63,0,4.1,0
 36-46,0,0,0,0,1.7,0,0,0,15.31,0,0,0,0,2.95,0,0
 48-58,0,0,4.04,0,5.47,0.41,0,0,25.89,0,0,0,0,0.74,0,0
 60-70,0,0,0,0,3.6,0,1.13,0,12.71,0,0,0,0,1.93,0,0
 72-82,0,0,0,0,13,0,0,0,23.34,0,0,0,0,4.24,0,0.7
 84-94,0,0,0,0,4.86,0,0,0,15.91,0,0,0,0,3.96,0.78,0
 96-106,0,0,0,0,8.94,0,0,0.75,12.72,0,3.43,0,0,0,0,0
108-118,0,0,0,0,0.86,0,0,0,18.46,0,0,0,0,0,0,0
120,0,0,0,0,19.57,0,0,0,11.49,0,0,0,0,0,0,0
