stage,epidermis,eye,fin.epithelia,glial,immune,iridophores,melanocytes,mesenchyme,neural,notochord,olfactory,periderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,6.92,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,6.62,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.49,5.62,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0
 24-34,0,0,0.92,0,0,0,0,0,13.42,0,1.1,0,1.5,0,0,0
 36-46,0,0.71,0,0,0,0,0,1.01,14.97,0,0,1.71,2.8,1.79,0,0
 48-58,0,2.73,0,0,0,0,0.43,0.46,18.91,0,1.09,0,4.84,0,0,0
 60-70,0,3.32,0,0.8,0,0,0,0,29.31,0,0,2.91,5.91,0,0,0
 72-82,0.52,3.27,0,0,0,0,0,3.97,36.82,0,0,0,8.02,0,1.28,0
 84-94,0,2.14,0,0,0,0,0,1.22,6.51,0,0,0,8.55,0,0,0
 96-106,0,5.74,0,3.77,0.83,0,0,2.23,23.83,0,0,0,4.48,1.35,0,1.29
108-118,0,0,0,6.87,0,0,0,4.81,7.78,0,0,0,0,0,0,0
120,0,0,0,0,0,3.65,0,0,30.39,0,0,0,0,0,0,0
