stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85,0,0,0,0,0,0,0,0,0,0,0
  5-6,371.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.95,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.56,0,10.33,0,0,0,70.03,0,0,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,0,710.82,7.37,0,0,24.98,11.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.43,0,130.81,0,11.74,0,97,0,0,0,0,0,5.62,0,0,0,0,0,0,0,0,0,0,0,1667.31,10.07,0,0,77.78,0,5.95,0,17.63,0,0,0,0,0,0,0,0
 14-21,0,0,63.57,86.57,6.66,0,5.85,0,0,0,7.42,0.81,2.24,0,0,80.06,0,0,0,0,2.41,0,0,2.73,1568.94,0,0,2.35,0,1.09,0.9,4.37,0,0,6.63,698.45,0,0,0,0,0
 24-34,0,0,0,73.9,0.66,0,17.94,0,0,0,18.7,0,0.8,0.68,0.98,14.75,0,0,2.87,0,10.09,1.03,0,7.62,7181.93,0,1.59,1.49,0,15.65,0,0,1.72,0,0.94,1626.71,0,0,0.77,0,0.77
 36-46,0,0,0,119.33,0,0,83.66,0.61,0.86,0,302.52,0,0,0,2.63,3.71,0,0,0,1.52,11.27,0,0,19.43,11595.69,2.07,1.84,1.34,0,17.02,0,1.63,1.06,0,0,1822.45,0,0,5.71,0,3.23
 48-58,0,0,0,106.09,0,0,115.97,0,2.43,1.05,524.96,0,0,0.63,2.85,16.06,0.4,0.42,0,6.42,14.88,0,4.14,2.63,4026.36,0,0.6,0,0,1.06,0,0,0,0.5,0,973.94,0,0,6.62,0,0.51
 60-70,0,0,0,123.07,0,0,59.66,0,1.61,8.36,188.36,1.35,0,0,8.04,8.71,0,0,0,0,18.05,0.64,1.6,1.83,1433.67,0,0,1.29,0,15.5,0,0,0,0,0,213.62,0.81,0,0.75,0,0.72
 72-82,0,0,0,106.37,0,0,113.69,0,1.81,0,203.47,0.49,0,0,5.86,33.11,0,0,0,0.49,25.35,0.73,0.55,1.98,881.14,0,0.88,3.8,0,14.88,0,0,0,0,0,38.68,0,0,2.15,1.49,0
 84-94,0,0,0,275.78,2.31,0,129.53,0,9.65,0,124.1,2.74,0,0.6,3.42,35,8.71,0.67,0.64,0,13.21,5,0,3.1,532.28,0,0,5.72,0,30.48,0,0,1.35,0,0,33.65,0,0,8.59,0,0
 96-106,0,0.6,0,213.32,0.6,0,127.36,0,4.96,0,127.43,3.52,0,0.58,4.71,10.93,0.6,0,0,0,27.58,3.73,0.85,0.92,459.25,0,4.79,2.74,0,51.52,0.85,0,0,0,0,25.28,4.31,2.75,3.72,0,0
108-118,0,0.97,1.47,205.96,1.19,3.71,99.85,0,15.06,0,101.7,1.67,0,0,10.78,18.59,1.64,0.6,1.58,5.83,31.61,2.08,3.69,0,584.29,0.47,0.47,3.57,0,50.67,0,0,1.41,0.41,0,12.37,2.65,1.19,13.17,0,5.3
120,0,0,0,301.25,0,14.33,140.64,0,3.64,2.66,199.49,1.34,0,0,10.81,24.37,0,0,0,0,46.64,6.55,4.71,3.36,767.99,0,8,0,0,69.16,0,0,0,0,0,77.1,1.98,8.97,10.51,0,0
