stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.78,71.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.12,5.26,0,0,4.79,0,0,5.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.89,4.1,0,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,14.83,0,16.92,0,0,0,2.1,0,1.26,0,0,0,0,0,0,22.07,0,0,14.92,125.89,4.24,0.98,0,0,0,10.03,1.23,2.27,3.26,0,6.85,77.43,0,0,0,0,0
 24-34,0,0,0,18.85,0.6,14.9,0,4.76,0.86,5.21,0,4.1,0,1.91,0,1.08,0,0.62,34.47,1.64,0,11.68,439.99,11.03,11.52,1.61,0,0,31.68,0,0,0.64,0,0,242.2,0,0,11.7,0,0
 36-46,0,0,0,21,0,16.67,0,4.75,0,30.98,0.56,1.64,0,11.9,1.11,0,2.4,0,52.06,1.07,0,23.07,791.38,0.56,15.66,0.58,0,0,24.93,0,0,0,0,0,321.36,0,0,2.44,0,0
 48-58,0,0,0,15.57,0,195.78,0,7.9,4.05,54.78,1.48,2.92,8.43,5.32,3.16,1.27,4.43,0,82.36,0.81,5.76,8.42,1268.53,1.96,22.9,0.4,0,0,11.64,0,0,0,0,0,384.53,0,3.19,2.09,0,7.3
 60-70,0,0,0,14.86,0,205.82,2.21,12.29,2.35,42.59,5.52,2.61,2.43,0.58,0,1.58,0,0,118.28,0,0.98,6.82,932.54,2.51,7.22,7.57,0,1.44,20.75,0,0,0.59,2.31,0,205.03,0,6.03,13.41,0,0
 72-82,0,0,0.61,10.53,8.61,220.81,0,1.73,7.66,37.67,1.54,4.2,9.37,0,6.12,2.35,0,0,173.71,0.8,4.05,13.38,616.71,2.01,21.09,1.16,0,4.67,12.9,0,0,0,0,0,132.67,0.67,3.52,9.99,0,0.67
 84-94,0,0,0,26,0,136.6,0,3.56,12.63,23.83,15.85,5.36,14.63,1.35,0,0,0,0,102.9,0,15.38,11.32,478.13,0,10.08,5.96,0,1.66,34,0,0,0,0,0,96.56,0.71,3.5,7.27,2.72,0
 96-106,0,0,0,20.63,0.6,131.9,2.06,2.5,1.84,32.27,2.54,2.25,8.65,1.29,0,2.69,7.46,0,93.24,0,5.09,4.85,318.42,1.44,21.9,0.74,0,3.44,21.88,0,0,0,0,0,48.96,0,1.25,18.68,2.67,0
108-118,0,0,0,39.75,1.04,159.16,5.51,6.64,8.3,33.41,20.05,6.77,8.11,4.7,0,1.68,3.7,0,108.45,10.94,4.69,11.62,591.88,2.3,8.02,5.79,0,22.58,22.76,0,0,0.42,0,0,54.5,1.43,9.63,27.86,0.89,0.92
120,0,0,0,25.67,0,228.13,0,6.68,18,18.59,14.66,23.19,34.84,6.62,12.67,0,0,0,66.01,0,15.95,8.76,857.94,3.58,38.78,1.8,0,44.58,16.89,2.5,0,0,0,0,30.75,1.37,0,6.77,0,0
