stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.24,62.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55,0,0,0,3.99,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,48.91,0,0,0,0,4.21,0,0,0,9.27,1.31,0,0,0,0,0,0.9,0,30.22,6.38,0,1.14,0,0
 24-34,0,0,0.9,0,0,0,0,1.13,0,0,0,1.08,1.04,198.36,0,0,0,0,5.14,0,0,1.77,30.63,7.34,0,0,0,0,0,1.75,0,8.26,5.61,0,10.53,0,1.14
 36-46,0,0,0.95,0,0,17.02,0,4.14,0,0,1.85,0,0,256.67,0,3.73,0,0.84,1.43,0,0,0,28.1,4.93,0,0,0,0,0,25.69,0,0,4.34,0,9.36,0,5
 48-58,3.45,0,0.46,0,0,0.45,0,29,0,0,3.51,0,0,226.23,0,10.11,0,3.69,9.02,0.41,0,2.76,75.66,8.67,0,0,0,0,0.43,2.95,0.77,0,7.21,0,13.39,0,0
 60-70,0,0,0.7,0,3.34,3.59,0,38.02,0,0,13.64,0,1.17,145.05,0,3.67,0,2.41,18.52,0,5.32,2.58,132.1,4.37,0,0,0,0,0,3.93,0,0,1.78,0,22.94,0,5.05
 72-82,0,0,0.93,2.04,2.24,4.32,0,43.58,0.51,0,6.14,0,0,304.1,0.7,20.04,1.36,3.11,28.91,0.71,0.67,3.02,126.98,0.63,1.22,0.9,0,0,0,20.13,0,0,3.45,0.91,45.53,5.63,0
 84-94,5.55,0,0,1.54,0,15.09,0,27.58,0,0,2.71,0,0,355.12,0,24.64,0,8.37,41.75,0,0,0,65.45,3.3,0,2.11,0,0,0.67,15.24,0,0,0,5.49,55.29,0,0
 96-106,0,0,1.43,5.92,9,5.69,0,42.08,0,0,10.94,0.59,0.78,573.98,0.86,20.23,0,8.33,38.49,6.6,1.37,2.81,99.37,0,0,2.54,0,3.23,2.51,48.89,0,0,0,0,92.57,0,0
108-118,0,0,0,4.01,1.56,3.2,1.13,27,0.86,0.79,9.03,1.48,0,482.5,0,32.42,0,3.31,31.65,0,0,4.83,107.18,0,0,0,0,1.65,0,27.17,0,0,0,0,64.53,0,7.43
120,0,0,0,0,8.87,1.94,0,23.69,0,0,9.13,0,0,450.23,0,31.65,0,5.88,44.2,0,0,4.19,52.65,0,0,0,0,0,0,51.81,0,0,0,0,83.61,0,0
