stage,blastomeres,endocrine.pancreas,eye,glial,mesenchyme,neural,olfactory,spinal.cord
  3-4,34.95,0,0,0,0,0,0,0
  5-6,30.38,0,0,0,0,0,0,0
  7-9,0,0,3.84,0,0,0,0,0
 10-12,0,0,0,0,0,8.75,0,0
 14-21,0,0,0,0,0,7.08,0,1.97
 24-34,0,0,0,0,0,16.43,0,3.16
 36-46,0,0,2.92,1.08,0,13.44,0,0.88
 48-58,0,0,0.39,0,0,9.06,0,0
 60-70,0,0,0,0,1.29,34.45,0,0
 72-82,0,0,2.93,2.56,1.19,13.49,0,2.77
 84-94,0,0,1.68,0,0,11.43,2.26,5.34
 96-106,0,2.93,5.09,1.18,0,19.78,0,0
108-118,0,0,7.47,4.35,0,25.52,0,1.9
120,0,0,19.45,0,0,93.53,0,0
