stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,iridophores,lateral_line,liver,melanocytes,mucous,neural,olfactory,otic,periderm,xanthophores
  3-4,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,9.43,2.57
 36-46,0,0,0,0,0.76,0,0.61,0,0,1.09,0,1.12,0,0,2.88,0
 48-58,0,0,0,0,0,0,1.24,0,0,0,0,1.98,0,0,3.11,4.67
 60-70,0,0,0,0,0,0,10.44,0,0,0,0,0,0,0,2.9,6.32
 72-82,0,0,2.17,0,0,0,0,0,0,0,0,0.98,0,0,0.57,0
 84-94,0,6.29,0,0,0,1.03,0,0,0,0,0,0,0,0,7.98,0
 96-106,0,2.27,0,1.1,0,0,3.6,2.15,1.04,0,0,2.08,0,0,6.88,0
108-118,0,1.53,0,0,0,0,2.34,0,0,0,1.22,4.84,0.83,0.57,1.85,4.68
120,0,1.66,0,0,0,0,1.18,0,0,0,0,1.75,0,0,4.12,0
