stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,immune,ionocyte,mesenchyme,mucous,muscle,neural,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste
 14-21,0,1.04,4.32,0.85,0,0,0,0,0,0,1.64,3.88,2.24,0,1.71,0,0
 24-34,0,0,1.05,1.56,0,0.95,0,0,0,0,0,4.72,0,0,2.2,0,0
 36-46,0,0,0,0,0,0,1.15,0,0,0,0,12.55,0,0,0,1.03,0
 48-58,0,0,0,0,0,0,1.1,0,0,0,2.25,7.7,0,0,0,1.33,0
 60-70,0,0,0,0,0.58,0.68,0,0.92,0,0,0,0,0,0.62,0,0,0
 72-82,1.04,0,2.54,3.21,3.39,1.21,8.96,0,0.58,0,0,3.74,0,0,0,0,0
 84-94,0,0,0,1.71,0,0,0,0,2.66,0,1.85,13.59,0,0,0,0,0
 96-106,0,0,0,3.75,0.93,2.35,20.89,0,0,0,0,10.68,0,0,0,0,0
108-118,0,0,4.89,1.31,0,0,0,0,0,1.96,0,17.1,0,0.49,0,0,0.44
120,0,0,2.32,0,0,0,3.17,0,0,0,0,29.38,0,0,0,0,5.64
