stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,lateral.line,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,18.39,255.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.1,326.1,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,0,0,0,0,0
  7-9,5.02,0,5.33,0,0,11.73,0,0,0,0,0,0,88.08,0,0,52.33,0,0,0,0,0
 10-12,0,0,17.22,0,0,15.43,0,0,0,0,0,0,217.23,3.39,0,96.07,0,27.54,0,0,0
 14-21,0,0,0,2.5,0,1.23,0,0,0,0,0,0,9.91,0,0,0.8,0,0,1.09,2.11,0
 24-34,0,0,0,0.65,0,2.45,0,0,0,0,0,3.16,11.64,0.79,0.63,0,0,0,0,4.41,0
 36-46,0,0,0,0,0,1.66,0,0,0,0,0,0,27.44,0,0,0,0,0.58,0,3.76,0
 48-58,0,0,0,0,0,7.44,0,0.82,0,0,0,0,5.53,0,0,0,2.29,0,0,1.47,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,2.02,0,0,0,0,0,0
 72-82,0,0,0,1.34,0.87,9.2,0,0,0,0.62,0.53,2.43,19.79,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.94,0,0,0,0,0,0,19.6,0,0,0,0.72,0,0,3.4,0
 96-106,0,0,0,1.4,0,11.76,0,0,0,0.64,0,2.99,1.64,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.47,0.44,0,0.47,1.61,0,2.24,9.06,0,0.57,0,1.04,0,0,14.06,3.96
120,0,0,0,1.63,3.45,30.59,0,1.08,0,4.22,0,0,64.05,0,0,0,0,0,0,0,0
