stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.67,19.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.36,8.33,0,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.71,0,0,0,5.76,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,33.21,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,29.99,0.82,49.29,0,0,0,0,0,0,9.01,374.46,0,0,0,0,0
 24-34,0,0,36.43,0,33.34,0,0,13.31,0,2.1,0,8.9,0,0,0,0,0,0.79,0,5.48,0,0,0,1147.66,0,304.63,1.65,0,0,14.64,0.65,0,0,2409.03,0,0,0.93,0,5.66
 36-46,0,0,35.89,0,12.88,5.09,0,13.01,4.46,0,0,6.78,0,1.3,0,18.25,0,0.71,0,2.88,0.61,0,0.63,2561.01,0,335.82,0,0,0,3.03,0,1.23,0,3104.85,0,0,1.34,0,4.93
 48-58,0,0,21.86,0,12.62,0,0,77.4,0,0.63,0,20.55,0,0.66,0,0,3.42,0.4,1.92,5.96,0,0,1.15,2505.91,0,178.03,0,0,0,13.83,0.45,0,0,1474.31,0,0,0,0,2.15
 60-70,0,0,19.27,0,2.18,0,0,164.62,0,0,2.97,42.8,1.4,0,1.16,0,0,0,0,6.95,4.61,0,0,2896.73,0,152.02,0,0,0.84,0,22.13,0,0,927.29,9.73,0,0,0,8.05
 72-82,0,0,46.44,0,21.71,1.64,0,268.57,0,0,0,91.44,14.67,0,0,0.83,5.83,0,0,19.64,0,0,0.49,4200.45,0,161.25,0,0,0,2.32,0,0,0,570.26,62.2,0,5.93,0,0
 84-94,0,0,37.85,0,19.13,0.55,0,218.83,0,0,0,53.97,23.33,0,0.82,1.02,0,2.59,1.67,13.58,0,0,0,2874.69,0,147.71,0,0,0,8.78,0,0.69,0,270.85,142.78,0,2.13,9.21,0
 96-106,0,0,47.7,0,27.7,1.27,1.47,352.89,0,0,0.64,72.5,28.36,1.56,0.85,0.64,0,0.95,15.95,24.02,5.66,5.07,0.96,2932.93,0,219.77,1.73,10.66,0,11.71,0,0,0,292.78,280.4,3.85,0,5.01,1.22
108-118,0,0,33.71,0,34.94,0,0,362.89,1.36,1.03,0.53,92.38,19.08,0,3.84,0.55,5.25,0,0,13.67,0.73,0,0,3334.59,1.05,128.62,10.34,0,1.91,28.84,0,0,0,186.98,304.64,0,0.85,2.52,0
120,0,0,12.81,0,48.81,1.71,0,560.08,0,7.54,0,139.61,10.54,0,7.45,0,0,0,9.49,27.11,0,0,1.04,5637.01,0,156.44,7.18,0,0,7.86,0,0,0,369.28,106.95,0,8.01,0,0
