stage,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22,0,0,0,0,0,0,0,0,0
 10-12,0,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,7.37,0,0,0,0,0,0,0
 14-21,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0.88,0,0,0
 24-34,0,0,1.5,0,0,0,0,0,0,0,0,0,0,21.55,0,0,0,0,0,0,1.83,0,5.59
 36-46,0,0,0,0,0,0,0,1.22,0,0,0,0,1.73,26.6,0,0,0,0,0,0,10.48,0,0
 48-58,0,0,0.56,4.05,0,1.2,0,0,0,0,0.45,5.12,0,51.57,0,0,0,0,0,0,5.22,0,7.66
 60-70,0,0,1.1,7.67,0,0,1.6,0,6.9,0,0,0,3.42,122,0,0,0,0,0,0,6.6,0,1.66
 72-82,0,0,0,20.94,0,0,0,6.75,0,0,0,1.34,0,135.55,2.24,0,0,0,0,0,34.17,0,0
 84-94,0,0,0,15.35,0,0,0,9.75,0,0,0,0,4.76,98.72,0.55,0,0,1.21,0,0,8.38,0,0
 96-106,0,0,1.53,9.43,0.67,0,0,3.61,0,0.58,0,0,0,104.18,8.63,0,1.06,0,0,0,5.48,0,2.2
108-118,4.9,0,2.95,26.41,0.42,0,0,5.4,0,0,0,0,3.3,160.05,2.04,0,0.77,0,0,0,8.04,0.42,0
120,0,0,9.22,44.83,0,0,0,9.85,0,1.5,0,5.27,0,388.77,2.84,0,0,0,0,0,1.7,0,0
