stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,hatching_gland,mesenchyme,muscle,neural,paraxial_mesoderm,pgc,pronephros,spinal_cord
  5-6,6.1,44.31,0,0,0,0,0,0,16.53,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,21.77,9.48,0,0,0
 14-21,0,0,0,0,0.93,1.19,0,0,0,1.18,0,10.18,0.85,0,0.83,0.88
 24-34,0,0,0,0,0,0,0,0,0,0,0,11.66,0,0,0,0
 36-46,0,0,0,0,0,4.51,0,0,0,0.98,0,3.27,0,0.81,0,0.88
 48-58,0,0,0,0,0,0,0,0,0,0,0,5.74,0,0,0,2.48
 60-70,0,0,0,0,0,4.41,0,0,0,2.24,0,1.35,0,0,0,0
 72-82,0,0,0,0,0,3.53,2.03,0,0,0,1.88,1.99,0,0,0,0
 84-94,0,0,0,0,0,2,0,0,0,1.31,0,8.08,0,0,0,0
 96-106,0,0,0,0,0.6,0,0,1.35,0,0,0,0,0,0,0,0
108-118,0,0,0.71,0.74,2.4,0,1.28,0,0,0,0,1.2,0,0.48,0,0
