stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.67,0,0,0,0,0,0,0
  5-6,19.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.77,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,4.29,0,13.68,3.5,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.14,0,0,64.14,0,0,0,33.01,0,0,0,0
 14-21,0,0,0,2.59,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,7.04,6.21,0,0,0,0,0,290.08,130.25,0,0,0,0
 24-34,0,0,0.86,1.78,0,3.36,59.68,0.62,0,0,0,7.12,0,0,0,0.98,0,0.87,0,53.73,135.33,0,0,0,3.87,0,174.71,63.7,4.97,5.17,0,0
 36-46,0,0,0,0,0,5.49,98.82,0,0,0,0,0.79,0,0.79,0,0,0,4.12,0,31.49,36.34,0,0,0,2.82,0,160.15,7.35,5.56,0.75,0,0
 48-58,0,0,0,0,0,18.17,87.14,0,0.74,2.06,0,0.51,0,0,0,0,1.85,10.03,0,33.64,56.49,0,0,0,0,0,78.56,0,11.6,0.82,0,4.57
 60-70,0,0,0,0.8,0,16.22,72.18,0,0.62,1.16,0,0,0,0,0,0,0,9.88,0,26.87,45.65,0,0,0,0,0,65.85,0,1.37,0,0,0
 72-82,0,0,0,2.72,1.65,20.82,40.78,0,0,6.38,0,0,0,0.53,0,0,0,19.29,0,32.21,25.55,0,0,0,3.09,0,17.7,0,24.03,3.76,1.87,0
 84-94,0,0,0,1.33,0,8.37,53.95,0.55,0,0,0,0,0,0,0,2.13,0,10.06,0,29.33,18.22,0,0,0,7.38,0,28.4,0,0,3.45,0,0
 96-106,0,0,0,2.58,8.6,28.1,79.85,0,3.96,3.45,0,0,1.06,0,0,0,0,11.2,4,19.87,43.96,0,0,0,2.93,0,54.66,0,0,4.11,0,13.19
108-118,0,0,0,0,0,5.08,76.53,0,0,3.96,0.63,0.44,0,0,4.74,0,0,15.54,0,43,15.14,0,0.42,0,4.14,0,40.12,0,0.94,0,0,0
120,0,3.29,0,2.74,0,28.44,113.37,0,0,0,0,0,0,0,0,5.57,0,2.98,0,51.9,30.49,0,0,19.84,3.07,2.24,12.39,0,0,0,0,0
