stage,erythrocytes,eye,glial,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,pericytes,slow.muscle,spinal.cord,visceral.smooth.muscle,xanthophores
 10-12,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,0,61.84
 24-34,0,0.82,0,0,0.62,0,0,0,0.59,1.58,0,0,22.03,0,1.06,0,0.78,8.79,0,240.6
 36-46,0,0.58,0.98,1.51,0.62,0,0,0,0,0.9,0,0,7.06,1.12,0,0,0,0.75,0,271.61
 48-58,0,9.95,1.92,0,0,0,0,0,0,0.69,0,6.48,10.91,0,0,0,0,3.19,0,376.36
 60-70,0,2.26,0,0,1.16,0,0,0,0,0,0.65,0,8.16,0,0,1.65,0,0,0,252.11
 72-82,0.91,4.42,0,0,0.63,0.57,1.05,0,0,1.41,0,0,1.22,0,0,0,0,11.95,0,240.49
 84-94,0,1.05,0.93,0,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0,118.63
 96-106,0,3.96,0,0,2.82,0,0,0,0,1.01,0,1.6,0.64,0,0,0,0,0,0.58,102.14
108-118,0,0,0,0,0,0,0,1.52,0,2.24,0,0,3.72,0,0,0,0,0,0,111.36
120,0,0,0,0,6.81,0,0,0,0,0,0,1.11,10.09,0,0,0,0,0,0,35.64
