stage,eye,neural,otic,spinal_cord
 24-34,0,2.23,0,0
 36-46,0,13.84,0,0
 48-58,0.47,12.66,0,5.3
 60-70,3.5,19.05,0,3.26
 72-82,4.04,11.55,0.79,1.81
 84-94,9.19,12.52,0,0
 96-106,4.32,9.38,0,0
108-118,0,26.79,0,0
120,14.96,9.79,0,0
