stage,blastomeres,epidermis,erythrocytes,eye,immune,mesenchyme,mucous,mural.cell,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,11.79,0,0,0,0,0,0,0,0,21,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.52,0.98,0,0,1.18,0
 24-34,0,0.61,0,0,0,0,0,0,0,7.68,0,0,0,1.14
 36-46,0,0,0,0.78,0,0.61,0,1.13,0,2.54,0,3.3,0,0
 48-58,0,3.05,0,1.43,0.4,1.21,0,0,0,1.26,0,1.66,0,0.37
 60-70,0,0,0,0,1.96,0,0,0,0,1.56,0,2.61,0,0
 72-82,0,0,9.55,0.51,2.83,0,0,0,0,0.57,0,1.5,0,1.77
 84-94,0,0.81,0,0,9.88,0,0,0,0,0,0,4.87,0,0.87
 96-106,0,0,0,0,9.49,0,0,0,0,0,0,9.97,0,0.82
108-118,0,0,0,3.29,13.55,2.64,0,0,0,0,0,11.3,0,0.96
120,0,0,0,0,27.52,0,1.47,0,0,0,0,2.25,0,1.56
