stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,0,27.53,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.34,0,0,0,3.22,0,5.09,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.63,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.46,4.74,0.65,0,0,0,0,0,0,0,0,8.67,0,0,3.67,21.44,0,2.68,0,0,0,0,0,0,9.62,0,0,1.06,0
 36-46,0,0,0,3.18,7.53,0,2.21,1.76,2.66,0,0,0,0,38.86,0,0,8.62,124.02,0,1.06,1.94,0,0,0,0,0,26.9,0,0,0.6,0
 48-58,0,0,3.41,0,51.01,0,0.55,2.49,2.3,0,0,0,0,54.18,0,0.53,5.1,232.27,0,2.38,2.88,0,0.59,0,0.73,1.45,31.67,0,0,3.38,0
 60-70,0,0,1.61,0,53.11,0,0,0,0,0,0,0,0,26.39,0,1.12,0,130.96,0,0,2.14,0,0,0,0,0,10.2,0,0,0,1.92
 72-82,0,0,0.55,0,78.53,0.64,1.1,4.69,1.41,3.29,1.82,0,1.27,52.32,0,3.5,2.97,217.43,0,2.4,0.81,0,1.12,0.84,0,0,19.91,0.87,3.25,0,0
 84-94,0,1.42,4.85,6.26,25.67,0,0,0,0,0,0,0,0,33.16,0,2.91,2.1,125.22,0,0,1.96,0,4.76,2.53,0,0,9.24,14.07,0.71,1.68,0.6
 96-106,0,1.37,0.73,3.96,55.96,0,0,7.65,0,1.13,0.77,1.11,0,31.33,10.6,0,0,98.93,0,6.54,7.48,0,0,0.75,0,0,0,7.34,0,0,0
108-118,0,0,4.09,0.46,60.3,0,0,7.97,0,1.93,0,0,1.22,32,0,0,1.15,115.9,0,2.96,2.21,0,0,9.51,0,0.53,0,5.79,1.35,3.36,0.73
120,0,0,0,0,2.48,0,0,4.69,0,0,1.89,0,0,26.39,0,0,0,34,1.33,0,0,0,0,0,0,0,28.29,1.99,0,2.49,0
