stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,207.09,1171.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.61,0,0,0,0,0,0,0,0,0,0,0
  5-6,720.32,2732.26,0,24.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457.1,283.16,0,0,252.6,0,203.2,0,0,0,0,0,0,0,0,0,0,0
  7-9,208.7,131.98,0,34.79,0,0,11.9,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,1357.72,1341.95,0,0,6645.1,0,46.11,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,23.87,0,35.34,0,0,33.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790.47,430.24,0,0,1586.59,0,0,0,4.61,238,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.74,541.44,118.41,24.45,16.62,0,0.84,38.25,0,0,0,0.81,0,0,0,55.21,5.09,0,53.26,172.1,70.36,40.04,306.67,65.92,0,0.83,1.53,145.93,7.39,0,24.16,12.84,0,0,1.75,0,0
 24-34,0,0,0,36.29,273.51,0,202.79,64.28,0,1.38,51.28,0,3.37,0,0.82,0,0,5.1,137.88,3.29,0,35.94,149.16,0,39.68,16.04,0,0,7.75,0,0,11.26,0.69,0,30.86,0,0,3.4,0,0
 36-46,0,0,0,3.52,155.96,0,248.3,185.05,0,3.27,43.16,0,4.97,0,6.62,0,0,35.13,60.01,1.77,0,1.98,177.06,0,17.88,18.26,0,0,0,0,0,4.38,0,0,7.04,0,0,4.04,0,0
 48-58,0,5.17,0,1.02,157.79,0,246.62,151.3,1.01,39.47,17.1,0,2.8,0,0,0,0.39,1.48,77.62,0.62,4.59,0.82,186.24,0,8.64,16.4,0,0.56,0,0,0,1.85,0.77,0,5.71,0,0,0.5,0,5.36
 60-70,0,0,0,0,131.4,0,193.15,222.38,0.84,234.44,3.7,0,7.03,0.69,0.82,0,1.26,0,181.89,0,32.44,2.83,109.32,0,12.78,8.15,0,0,5.79,0,0,0.64,0,0,4.76,0,4.65,2.02,0.64,0
 72-82,0,0,1.2,0,125.4,0,72.43,157.52,1.28,238.89,3.5,0,0.53,0,4.66,0,0,3.14,259.93,0.59,44.29,22.47,135.01,0,20.58,36.99,0,1.58,0,0,0,0,0,0,2.16,0,2.63,0.72,3.77,3.43
 84-94,0,0,6.19,0,215.76,0,96.67,271.2,3.19,229.77,4.49,0,2.56,0,7.5,0,0,0,271.36,0,53.76,13.59,103.29,0,72.18,46.08,0,0,0.57,0,0,2.8,0,0,2.34,2.05,3.32,1.18,4.96,0
 96-106,1.12,0,2.96,0,251.9,0,66.99,252.55,0,395.43,1.25,0,8.61,0,2.34,3.32,0.77,0,236.78,5.71,34.58,7.48,106.22,0,117.02,35.8,0,0,12.82,0,0,0,8.07,0,7.67,0,7.21,0,14.54,0
108-118,0,0,9.34,0,230.81,0,54.41,381.7,2.4,330.63,2.46,0,4.6,0,6.16,0,0,0,435.99,0,98.02,2.35,120.95,0,89.3,32.19,0,3.79,7.08,0,0,1.71,0,0,0.42,4.86,18.4,0,18.22,0
120,2.23,0,0,0,271.75,0,78.97,338.76,0,386.88,4.07,0,12.18,1.66,0,0,1.34,0,278.48,2.26,123.39,1.82,240.73,0,47.85,36.9,0,0,0,0,0,0,0,0,23.28,1.47,9.85,0,23.04,0
