stage,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,heart,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,8.57,0,0,4.86,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,8.92,0,0,4.4,0,0,0,0,0,0
 14-21,0,1.88,0.99,0,0,0,0,0,0.81,0,0.94,0,0,0,0,0,0,0.83,0,1.16
 24-34,0,0,0.66,0,0,0,0,0,0,0,8.79,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0,0.6,0,0,0.66,0
 48-58,0,0,1.5,0,0,0,0.44,0.53,0.57,0,6.33,0.94,0,0,1.1,0,0,0,0,0
 60-70,0,4.41,3.24,0,2.4,0,0,0,1.86,0,8.87,0,0,0,2.71,0,0,0,0,0
 72-82,0,0,0,1.51,1.96,0,1.72,0,1.48,2.22,6.21,1.07,0,0,0,0,1.5,0,0,0
 84-94,0,0,3.22,0,0.69,0.58,0,0,0,0,1.84,0,0,0,0,2.66,0,0,0.58,0
 96-106,0.81,0.89,1.55,0,2.73,0,0,0,2.85,0.65,4.76,0,1.07,0,0,0,0,0,2.67,0
108-118,0,0,7.95,0,0,0.63,0,0,0,0,10.6,0,0,0,0,0.97,0,0,0,0
120,0,0,9.22,0,16.37,0,0,0,6.66,3.42,19.65,13.95,0,0,0,0,0,0,0,0
