stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,spinal.cord,taste,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,0,0,4.69,0,0,0
 24-34,0,0,0,1.22,0,1.41,4.75,0,0,0,0,0,1.23,27.71,0,0,23.4,0,1.85,0
 36-46,0,0,0,0.74,0,0,0,0,0,0,4.97,0,0,54.52,0.87,0,17.8,0,0,0
 48-58,0,0,0,13.89,0,2.1,0,0,0,0,1.65,0,0,90.34,5.06,0,22.16,0,0.75,0
 60-70,0,0,0,62.39,0,3.59,0,0,0,0,1.88,0,0,82.92,0,0,7.7,0,0,0
 72-82,0,0,0,81.64,0,3.07,1.32,0,0.65,0,6.67,0,1.24,78.37,1.02,0,7.22,0,0,0
 84-94,1.33,0,0,72.21,2.9,1.58,0,0,0,0,9.07,0,0.59,50.41,0,0,4.43,0,0.84,1.57
 96-106,0,0,2.8,120.76,0,4.97,0,0,1.02,1.45,2.98,0,0.92,77.04,0,0.91,14.95,1.64,0.72,0
108-118,0,0.57,0,84.99,0,1.68,0,0.56,1.48,0,5.25,1.77,0,78.71,0,0.67,4.26,1.3,1.3,0
120,0,0,0,31.1,0,0,0,0,0,0,0,0,0,73.25,0,0,0,0,0,0
