stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,130.49,2424.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.26,0,0,0,0,0,0,0
  5-6,31.68,1480.25,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,80.34,14.47,0,0,10.29,54.08,0,0,0,0,0,0,0
  7-9,21.5,32.38,56.75,0,0,0,127.34,0,0,0,36.64,0,0,0,0,0,0,0,0,0,1217.66,28.16,0,0,376.4,0,0,0,0,0,0,0,0
 10-12,0,38.26,92.4,0,6.18,0,104.61,0,0,0,14.37,0,0,0,0,0,0,0,0,0,1039.54,19.17,0,0,402.74,0,8.15,0,13.8,20.42,0,0,0
 14-21,0,0,5.88,56.22,16.89,0,30.46,0,5.71,0.82,0,0,2.68,0,0,0,29.01,0,0,19.32,275.18,6.6,6.4,0.81,2.87,44.33,1.53,25.29,0.85,10.67,69.98,3.54,0
 24-34,0,0,0,3.86,1.6,0,105.4,0,7.34,0,0,0,2.15,0,0.78,0.74,43.3,0,0,9.13,674.92,1.35,2.51,1.9,0,9.42,0,1.03,0,0.71,121.29,8.91,0.79
 36-46,0,0,0,1.19,1.28,0,206.07,0,2.19,0,0,0,0,12.95,0,0,34.9,0,0,4.85,466.17,0,3.22,0,0,5.25,0,0,0,0,65.96,14.62,4.64
 48-58,0,0,0,6.84,4.46,0,255.82,0.81,12.63,0,0,0.45,2.75,0.38,0,1.59,23.35,0,0.46,2.88,186.16,0,1.62,0,0,2.47,0,0,0,0,16.04,1.47,0.56
 60-70,0,0,0,9.47,0,0,189.23,0,6.59,1.93,0,0,0,0,0,0,28.58,0,7.43,0.6,116.6,0,0,0,0,1.83,0,0,0,0,14.44,1.08,0
 72-82,0,0,0,0.65,1.43,0,44.91,0,2.66,1.33,0,0.72,0,0.72,0,0,11.32,0,2.44,3.21,35.23,0,1.34,0.5,0,0,0,0,0,0,0,1.19,0
 84-94,0,0,0,2.42,0.66,0,52.22,0,4.87,3.05,0,0,0,0,0,0,17.28,0.75,1.91,4.8,42.37,0,0,0,0,0,0,0,0,0,3.95,0,0
 96-106,0,0,0,0,0,0,15.87,0,1.69,0,0,1.71,1,0,0,0,4.92,0,0,0.67,27.15,0,0,0.63,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.73,4.55,0,44.53,0,8.41,0.93,0,3.07,0,0,0.87,0,7.22,0,0,1.24,31.95,0,0,0,0,4.82,0,0,0.87,0,0,0.55,0
120,0,0,0,4.75,6.67,1.71,97.68,1.04,24.36,0,0,2.51,2.76,0,0,0,7.42,0,2.08,0,126.82,0,0,0,0,1.37,0,0,0,0,0,0,0
