stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.42,0,0,0,0,0,0,0,0,0,0
  5-6,11.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.02,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.54,0,0,0,27.45,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.27,0,0,0,30.76,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.38,0,0,1.32,0,0,0,0,0,0,0,0.86,0,0,0,0.83,0,0,2.82,27.27,0,0,1.96,55.23,0.91,0,0,2.07,18.81,0,0,0,0,0
 24-34,0,0.76,9.36,0,0,5.72,0,0.62,1.62,1.26,0,0,0,3.54,0,0,0,6.52,0,0,2.86,92.24,0,6.54,0,53.02,0,0,0,0.62,9.66,0,0,0,0,0
 36-46,0,0,17.6,0,0,9.74,0,0,4.78,0.86,0,0,0,1.09,0,0.79,0,1.6,0.77,0,0,112.5,0,2.83,0,69.58,0,0,10.64,0,14.59,0,0,0.91,0,0
 48-58,0,0,0.71,0,0,25.12,0.42,0,0.9,0.98,0,0.45,0,0.62,0,0.94,0,4.25,0.53,0,0,80.5,0,2.66,0,23.88,0,0,0.4,0,9.96,0,0,0,0,0
 60-70,0,0,4.05,0,0,51.4,0.64,0,8.9,0,4.14,0,0,0,0,0.59,1.24,5.59,4.31,0,0,178.35,0,0.7,0,25.63,0,0,0,0,18.83,2.18,0,0.79,0,0
 72-82,0,0,7.24,0.65,0,67.78,0,0,11.31,2.75,1.17,0,0.63,6.4,0,10.66,0,6.97,3.97,0,1.23,94.57,0,6.15,2.94,16.34,0,0,0,0,9.76,0.79,0,0,1.33,0
 84-94,0,0,9.72,0,0,13.29,0,0.58,2.99,5.64,0,0,0,6.27,2.83,6.54,0,9.68,10.34,0,0,55.45,0,27.61,1.9,27.03,0,0,0,0,11.52,1.14,0,8.16,0,0
 96-106,0,0,25.53,0,0,23.59,0,2.34,3.34,27.77,0,0.86,0,5.67,0,19.63,0,9.07,12.89,0,0.9,61.47,0,28.87,0.64,13.58,0,0,0,0,1.25,10.21,1.21,7.31,0,0
108-118,0,0,37.12,0,1.27,14.71,1.07,0,7.31,30.38,0,0,2.04,4.78,0,28.79,0,13.43,10.44,0.75,0,68.51,0.5,24.46,0,26.19,0,0.41,0,0,2.34,13.32,0,0,0,0
120,0,0,77.98,0,0,18,0,0,0,37.72,0,0,0,11.62,0,12.46,0,11.85,3.05,0,0,43.04,0,47.9,0,23.81,0,0,0,0,0,7.03,0,2.43,4.16,2.85
