stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,vasculature
  3-4,69.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0
  5-6,82.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.09,0,0,0
  7-9,0,0,0,0,0,0,0,0,8.49,0,0,0,0,0,0,39.15,0,0,19.76,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,4.05,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,1.36,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0.6,0,0,7.22,0,0,0
 48-58,0,0,0,1.7,0,0.45,0,0,0,0,0,0,0,0,0,1.04,0,0.84,0,10.77,0,0,0
 60-70,0,3.98,0,3.46,0,0,0,0,0,0,0,0,0.85,0,0,0,0,2.15,0,51.08,0,0,0
 72-82,0,0,0,1.51,0,0,0,0,0,0,1.33,5.21,0,0,0,6.6,0,0,0,56.05,0,0,0
 84-94,0,1.26,0,3.13,3.68,0,0,0,0,4.21,0,10.54,0,0,0,2.36,0,0,0,232.24,0,0,0
 96-106,0,7.26,0,3.61,3.54,0,2.03,0.73,0,1.3,0,3.05,0.71,0,0,22.26,0,0,0,271.85,0,0,0
108-118,0,7.52,0.65,1.45,2.18,0,0,0,0,8.26,0,21.83,0.53,2.23,0.99,15.35,0.7,0,0,390.58,0,0.47,0
120,0,11.72,0,0,10.69,0,0,5.71,0,0,0,0,9.51,0,0,16.04,0,0,0,335.37,0,0,7.76
