stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,63.39,2364.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.79,0,0,0,0,0,0,0,0,0
  5-6,31.63,1549.03,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,166.89,53.38,0,0,44.09,0,0,0,0,0,0,0,0,0,0,0
  7-9,142.39,46.47,0,92.37,0,6.96,56.69,0,0,0,0,0,37.71,0,0,0,0,0,0,1292.05,153.39,0,0,781.37,0,0,15.28,0,0,0,0,0,0,0,0
 10-12,0,19.54,0,90.93,0,16.43,74.05,0,0,0,0,0,16.34,0,0,0,0,0,0,776.25,270.6,0,0,688.33,0,0,10.36,0,52.72,20.54,0,0,0,0,0
 14-21,0,0,0,2.88,4.81,0,0,0,0,0,0,2.27,0,0,0,0,11.99,0,1.79,22.23,6.05,0,0,3.42,0,0,0,0.95,0,0.85,18.57,0,0,0,0
 24-34,0,0,0,0,5.42,0,0.71,0,0,1.71,3.25,1.01,0,3.12,0,0.72,14.01,0,14.87,59.08,0,0,0,0,0,0.72,0,0,2.1,0.66,20.2,0,0,1.9,0
 36-46,0,0,0,0,16.88,0,6.39,1.56,0,0,2.44,0,0,0.79,0,0,8.25,0,5.16,25.41,0,0.91,0,0,0,0,0,0,0,0,17.08,0,0,0,0
 48-58,0,0,0.42,0,6.47,0,14.46,0.51,2.12,0,5.82,0,0,0,1.24,0,10.69,0,1.08,10.16,0,0,0,0,0,0,0,0,0,0,6.77,0,0,0,0
 60-70,0,0,0,0,1.1,0,7.21,0,0,1.24,8.33,0.58,0,0,0,0,24.36,7.17,1.86,10.46,0,0,0,0,0,12.08,0,0,0,0,5.26,0,0,0,0
 72-82,0,0,0,0,0.92,0,1.31,0,0,0,0.75,2.16,0,0,0,0.65,29.55,2.12,0,7.41,0,0,0,0,1.77,1.69,0,0,0,0,0.85,1.44,1.62,0,0.7
 84-94,0,0,0,0,7.64,0,2.65,0,0,0,6.45,0.89,0,0,0,0,25.72,1.68,0,8.66,0,0,0,0,0,0,0,0,0,0,0,0,3.47,0,0
 96-106,0,0,0,0,1.77,0,9.23,0,0,0,11.18,0,0,0,0,0,26.2,0.66,1.34,0.57,0,0,0,0,0,0,0,0,0,0,2.76,0,0,0,0
108-118,0,0,0,0,1.3,0,4.85,0,1.87,0,6.98,2.53,0,0,0,1.1,12.6,1.21,2.27,2.12,0,0,1.93,0,0,0.79,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,9.65,0,0,0,8.93,1.66,0,0,0,0,17.15,0,4.49,0,0,1.46,0,0,0,3.72,0,0,0,0,0,0,0,0,2.27
