stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,39.09,496.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.53,882.27,0,0,0,0,0,0,0,0,0,0,9.31,0,0,7.71,32.8,0,0,0,0,0
  7-9,0,43.55,14.33,0,0,27.42,0,0,27.89,0,0,0,462.86,8.43,0,139.97,0,0,0,0,0,0
 10-12,0,9.71,37.08,0,0,31.82,0,0,4.52,0,0,0,381.83,15.87,0,100.25,0,0,11.63,0,0,0
 14-21,0,0,0,4.6,0,0,0,0,0,0,0,0.9,19.68,0,0,0,1.89,1.42,0,0.81,2.66,0
 24-34,0,0,0,0.6,0,0,0,0.73,0,0,0.86,0,1.97,0,0,0,0,0,0,0,5.43,0
 36-46,0,0,0,0,0,1.85,0,0,0,0,1.09,0,7.3,0,0,0,0,0,0,0,1.82,0
 48-58,0,0,0,1.76,0,2.86,0,0,0,0,1.53,0,4.44,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,11.02,0,0,0,0,0,0,5.04,0,0,0,0,0,0.76,0,0,0
 72-82,0,0,0,1.23,0.83,4.6,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0
 84-94,0,0,0,3.39,0,0.6,1.64,0,0,0.78,0,0,1.99,0,0,0,3.86,0,2.39,0,0,0
 96-106,0,0,0,0,0,0,1.18,0,0,0.99,6.48,1.04,1.96,0,0.7,0,0,0,0,0,0,2.29
108-118,0,0,0,1.02,0,0.75,0,0.98,0,0,0,0,10.66,0,0.61,0,1.19,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0
