stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,9.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.94,0,0,0,0,0,0,0,0,0
 14-21,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,3.24,0,0.81,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,143.05,0,0,0,0,0,0,0,0,1.4,0,12.27,0,0,0,0,0,8.04,0,0,0
 48-58,0,2.07,0,0,1087.73,0,2.21,0.42,0,0,0,0,0,7.64,1.59,71.72,0,0,0,0.68,0,3.71,0,8.36,0
 60-70,0,0,0,0,2091.19,0,0,6.88,0,0,0,0,0,0.67,0,23.48,0,0,0,0,0,0.96,0.61,0,0
 72-82,0,4.12,0,0,1484.79,0,0,0,0,0,0,0,0,6.25,0,27.67,0,0,0,0,0,0,0,0,0
 84-94,0,7.78,0,0,1303.9,0,0,2.59,0,2.56,1.05,0.82,3.35,7.68,2.85,31.02,0,1.98,1.07,0,0,4.02,0,0,0
 96-106,0,2.1,0,0,908.75,0,0,0,0,2.85,0,0,0,3.29,0.6,16.45,0.57,0.81,0,0,0,2.33,0,0,0
108-118,0,1.73,1.13,0.51,824.71,0,0,2.34,1.44,0,0,0.82,0,0,1.38,85.72,0,0,0,0,0,0,0,0,4.6
120,0,6.37,0,0,837.81,7.1,0,0,0,0,0,0,0,0,0,18.27,0,0,0,0,0,0,0,0,0
