stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,15.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,0,0,0,0.9,0,0,0,0
 24-34,0,7.67,0,0,3.63,0,0,0,1.85,0.63,0,0,4.16,0,0,1.51,0,0,0,0,0.61,0,0,0,0
 36-46,0,2.59,0,0,1.85,0,0,0,1.67,0,3.8,15.03,0,1.26,0,12.15,0,0,0,0.59,0,0.97,0,0,0
 48-58,0,5.94,0,3.26,8.56,0,1.33,0,0,0,2.97,10.45,0,1.17,0,23.28,0,0,0,0,0,0.4,0,0,0.94
 60-70,0,0,0,0,2.05,0,0.9,0,0,0,6.77,10.38,0,0,0,35.53,0,3.57,0,0,0,18.67,1.64,0,0
 72-82,0,4.12,0,0.69,2.13,0,1.27,0,0.75,0,0,14.67,0,0.7,0,116.71,0,0,0,0,0,11.01,0,0.89,0.63
 84-94,0,2.53,0,3.92,2.47,0.77,0,0,0,0,5.94,26.32,0,0,0,87.44,0,0,0,0,0,0,0,0,0
 96-106,0,1.97,0,9.21,6.32,1.26,0.57,0.7,2.89,0,0.69,5.98,0,1.94,0,87.95,1.13,0,0,0,0,0,0,0,1.37
108-118,0,1.52,1.28,2.9,5.97,0,7.68,0.67,2.5,0,0.51,16.47,0,0.72,1.07,58.53,0,0,1.49,0,0,0,1.88,0,0.75
120,0,4.99,1.19,7.74,8.25,0,5.66,0,0,0,0,11.7,0,0,0,157.81,0,0,0,1.03,0,0,0,0,0
