stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,269.7,4279.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.78,0,0,0,0,0,0,0,0,0,0
  5-6,624.67,7560.52,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0,351.93,27.67,0,0,37.14,183.47,0,0,0,0,0,0,0,0,0,0
  7-9,168.66,419.07,0,621.3,0,8.92,1266.66,0,0,0,0,536.07,0,0,0,0,0,0,0,0,0,0,0,12735.56,258.71,0,0,4967.8,22.81,83.69,0,0,0,0,0,0,0,0,0
 10-12,0,161.88,0,210.82,0,15.51,440.91,0,0,0,0,78.82,0,0,0,0,0,5.32,0,0,0,0,0,4762.71,61.42,0,0,1552.96,6.67,35.43,4.36,205.43,0,17.83,5.88,0,0,0,0
 14-21,0,0,0,0.93,38.83,7.31,14.96,0,0,11.04,3.04,4.38,0,0,1.83,0,0,0,1.08,22.21,0,0,23.69,316.86,12.95,3.07,2.36,4.49,20.14,0,33.99,0.87,10.43,29.63,89.74,0,1.08,0,0
 24-34,0,0,0.81,1.96,16.01,10.57,152.66,0,0,17.92,0,1.15,2.7,0.75,2.39,0,2.36,0,1.94,75.68,0,0,12.66,1083.88,1.49,10.56,13.9,0,14.57,0,0,0,0,6.51,186.61,0,11.01,0,0
 36-46,0,0,0,0,8.84,12.16,590.8,2.41,0,16.58,0,0,0,2.09,2.56,0,0,0,0,81.41,0,2.12,16.58,966.84,3.68,6.84,0.72,0,19.25,0,0,0,0,0,142.53,0,9.05,0,8.98
 48-58,0,0,0,0,5.83,7.17,804,0,0,21.05,0.51,0,1.29,2.84,0.4,0.89,1.4,3.58,0,98.27,0,1.42,16.1,512.88,0.94,3.04,7.39,0,3.03,0,0,0,0,0,73.19,0,4.78,0,0
 60-70,0,0,0,0,22.44,2.01,809.89,0,0.72,61.04,0.73,0,0.71,1.44,0,0.81,4.23,0.74,0,120.49,0.62,4.17,15.51,385.36,0.75,1.17,2.87,0,12.41,0,0,0,0,0,17.85,0,6.36,0,0
 72-82,0,0,0,0,6.07,9.14,142.79,0,0,11.39,0.83,0,1,0.55,0,0,0,0,0,60.9,1.14,3.92,5.4,109.31,0,0,4.79,0,0.5,0,0,0,0,0,7.2,0.5,2.65,0.96,0
 84-94,0,0,0,0,12.51,5.17,139.79,0,2.01,10.4,2.16,0,2.85,4.06,1.35,0.66,0,0,0,89.41,0,7.27,9.08,132.49,0,3.42,2.71,0,4.9,0,0,0,0,0,3.16,0,5.61,0.77,0
 96-106,0,0,0,0,3.35,19.11,59.1,0,2.11,17.76,2.2,0,0,0.83,0,0,0,0,0,17.61,0.81,1.42,3.84,59.87,0,1.54,1.18,0,5.29,0,0,0,0,0,2.43,0,3.74,0,0
108-118,0,0,0,0,6.12,7.03,55.34,0,0,7.42,3.2,0,0,1.88,0.58,2.79,3.5,0,0,24.33,0,0,3.72,61.08,0,1.91,0,0,4.3,0,0,0.53,0,0,6.32,0.51,1.75,0,0
120,0,0,0,0,1.08,12.56,130.52,0,0,24.03,0,0,10.37,8.68,3.9,0,0,3.84,0,23.93,0,2.08,7.64,156.5,0,0,0,0,0,0,0,0,0,0,1.57,0,1.39,0,0
