stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,heart,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,39.63,244.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.82,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,16.33,0,0,0,0,0,0,0,0,0,51.77,0,0,0,24.21,0,6.2,0,0,0,0,0,0
 10-12,0,0,0,0,8.21,0,0,0,0,0,0,0,0,0,119.76,0,0,0,41.58,0,0,0,5.61,0,0,0,0
 14-21,0,0,3.69,0,1.74,0,0,0,0,0,0,0,3.16,1.66,25.06,0,0,1.24,0.87,0,0,4.69,0,4.03,4.76,0,0
 24-34,0,0,1.27,0,5.88,0,0,0,2.15,0,0,0,8.52,10.43,88.6,0,0,1.35,0,0,0,0,0,1.26,22.25,0,0
 36-46,0,0,1.44,0,17.57,0,0,0.88,0,0,0,0,12.28,1.1,74.56,0.65,0,0,0,0.59,0,0,0,0,1.96,0,0
 48-58,0,0,6.42,0,25.2,0.67,0,8.21,0,0,0,0,1.46,0,26.05,0,0,0,0,0.48,0,0,0,0,1.53,0,0
 60-70,0,0,3.08,0,21.18,0,0.69,4.23,0,0,0,0,0.76,0,12.56,0,0.88,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,17.02,0,0,1.89,0,0,0.7,0,3.98,0,5.69,1.67,0,0,0,4.15,0,0,0,0,3.62,3.82,0
 84-94,0,0,1.15,0,13.31,0,0,5.23,0,0,0,0,1.06,1.05,3.27,0,0,0,0,0,0,0,0,0,0.62,0.84,0
 96-106,0,0,1.07,0,2.59,0,0,4.21,0,0,0,0,3.62,0,2.77,0,0,0.65,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.11,0,0,2.4,0,0.95,0,0,0.72,0,6.1,0,0,0,0,0,0,0,0,0,0,0.55,1.73
120,0,0,1.33,1.9,16.44,0,0,30.65,0,0,0,2.93,0,0,11.93,0,0,0,0,0,0,0,0,0,0,0,0
