stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow.muscle,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.56,0,0,0
 14-21,0,1.05,0,0,0,0,0,0,0,0,0,0,0.94,0,0,142.18,0,0,0
 24-34,21.57,3.41,0,34.74,0,0,1.47,0,1.94,0,2.29,2.05,38.13,0,0,636.73,2.51,3.73,1.5
 36-46,5.65,0,0,67.55,6.14,1.31,0,0.83,0,0.88,3.95,0,24.67,0,0,508.33,2.84,2.93,0.62
 48-58,7.94,4.9,0,67.2,3.14,0,4.57,0,0,4.38,0,0,5.28,0,0,258.28,4.42,2.36,0
 60-70,29.21,5.73,1.99,38.47,0,0,1.79,0,0,6.73,0,0,17.93,0,0,216.04,0,0,0
 72-82,11.46,3.57,0,40.36,10.07,0.94,0,0,0,33.65,1.8,2.86,9.34,0,2.33,116.88,4.22,0.99,0
 84-94,4.67,19.78,0,24.85,0,1.19,0,0,0,11.65,0,1.56,7.49,0,0,173.72,0.57,0,0
 96-106,24.5,7.46,0,22.28,9.34,6.47,0,0,0,30.76,0,0,9.16,1.22,0,116.66,1.16,0,0
108-118,14.92,0.67,0,29.27,0.73,1.79,0,0,0,23.06,0,0,9.13,0,0,78.76,1.14,0,0
120,38.3,0,0,21.84,0,0,0,0,0,5.43,0,0,1.7,0,0,27.39,0,0,0
