stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,59.58,469.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.63,0,0,0,0,0,0,0
  5-6,20.99,351.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.47,0,0,9.67,0,0,0,0,0,0,0,0
  7-9,0,19.56,0,0,0,0,0,0,0,8.11,0,0,0,0,0,0,0,0,94.45,3.29,0,0,36.2,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,7.99,0,0,0,0,0,0,0,0,0,0,0,0,77.75,0,0,0,22.14,3.3,0,7.44,0,0,0,0,0
 14-21,0,0,0,3.98,1.65,6.1,0,0.93,0,0,0,0,0,0,0,2.05,0,4.72,48.74,2.52,0,0,0,1.97,3.97,0,4.56,15.82,0,0,3.62
 24-34,0,0,0,5.81,0,31.12,2.56,1.83,0,0,0,0,0.63,0,0,20.66,0,1.28,198.01,0.7,1.62,2.56,0,0.94,0,0,0,44.87,0,1.79,0
 36-46,0,0,0,0,0,76.65,0,1.35,0,0,0,0,0,0,0,11.34,0,0.61,172.97,0,0,0,0,1.26,0,0,0,32.69,0,1.37,0
 48-58,0,0,0,2.25,0,56.66,0,2.33,0.51,0,0,0,0,0.49,0,9.95,0,3.04,77.86,0,0,0,0,4.11,0,0,0,4.51,0,0,0
 60-70,0,0,0.57,0,0,66.13,0,2.77,0,0,0,0,0,0,0,12.86,0,0,52.26,0.71,0,0.81,0,0,0,0,0,1.49,0,0,0
 72-82,0,0,0,1.15,0,10.86,0,4.26,0,0,0,0,0,0,0,10.83,0,0,12.19,0,0.51,0,0,0,0,0,0,4.94,0,0,0
 84-94,0,0,0,0,1.4,16.42,0,2.06,0,0,0,0,0,0,0.68,18.04,0.83,1.74,19.13,0,1.74,0,0,6.49,0,0,0,0,1.17,0,0
 96-106,0,0,0,0,1.48,8.5,0,0,0,0,0,0,0,0,1.77,2.05,0,1.61,13.83,0,0,0,0,0,0,0,0,0,1.57,0,0
108-118,0,0,0,0,0.9,21.48,0,0,0,0,0.85,1.4,0,0,0,2.34,0,3.47,14.75,0,7.43,2.37,0,0.44,0,0.87,0,0,0,0,0
120,0,0,0,0,1.49,24.27,0,6.11,0,0,0,0,0,0,0,12.04,2.08,2.2,83.41,4.5,0,0,0,0,0,0,0,10.77,0,0,0
