stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,7.62,45.12,4.99,0,0,0,0,0,0,0,2.69,0,0,0,0,0,0,4.64,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,25.27,27.67,0,0,0,0,0,0,0,0,8.91,0,0,0,0,0,0,122.16,0,0,0,0,0,15.81,0,0,0,0,0,0,0,1.67,2.57,0,0,0,0,0
 36-46,0,8.06,8.15,0,0,0,1.27,0,0,0,1.02,48.84,0,0,0,0,0,1.37,246.15,0,0.72,0,0,0,22.93,0,0.73,0.68,0,0,0,2.61,0,1.33,0,0,0,0,0
 48-58,0,4.02,0.4,0.7,0,0,8.73,0,0,0,0.56,84.45,0,0,0,0,0,0,168.2,0,1.76,0,0,0,54.16,0,0,0,0,0.54,0,13.47,0,0.77,0,0,0,0,0
 60-70,0,235.21,0,0,0,1,35.44,0,0,0,7.3,427.43,0,0,0,0,0,0,366.65,0,5.66,0,0,0,72,4.5,0.99,0,0,0.61,0,8.53,0,5.26,0,1,0,1.92,14.73
 72-82,0,839.12,88.4,3.12,5.92,38.72,43.37,0,0,3.04,17.99,1751.96,0,0,0,1.26,8.35,0,171.6,7.34,27.56,0,0,1.87,484.27,0,0,4.73,2.01,10.15,0,20.86,0,11.54,1.36,0,7.17,4.92,15.95
 84-94,0,862.96,283.65,15.7,3.81,121.44,57.16,0,0.78,1.08,12.88,3130.71,0,0,17.1,0,0,5.53,562.6,5.66,31.63,0,1.65,7.17,268.08,0,3.59,0,1.75,18.68,0,26.18,0,16.02,2,2.17,4.7,0,0
 96-106,2.68,1102.59,473.46,46.79,104.93,158.68,403.52,7.24,4.35,0,63.09,7263.13,0,0.61,12.25,3.43,4.28,3,982.51,0,156.09,5.61,5.58,19.76,2225.71,1.32,9.03,4.66,0.81,119.28,2.29,11.68,0,23.85,8.52,5.79,24.36,7.21,83.94
108-118,0,951,640.68,41.94,24.77,174.42,194.94,3.61,7.97,1.88,60.13,9310.18,0,2.61,13.49,2.5,3.35,3.95,1163.42,1.93,162.71,6.99,6.16,12.07,2285.57,0.54,5.78,3.24,4.36,51.42,0,8.58,0,9.44,7.02,6.3,28.03,7.1,19.51
120,2.37,786.04,135.89,29.06,25.27,41.47,131.17,0,2.43,0,40.59,7258.54,0,0,10.18,0,0,1.07,889.63,0,78.09,1.47,2.58,5.07,1946.27,0,10.75,2.87,4.22,13.76,0,64.23,0,18.7,2.06,2.68,6.1,0,7.58
