stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  3-4,24.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77,0,0,0,0
 14-21,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,10.7,0,0,0,0,3.83,0,0
 24-34,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,60.95,2.09,0,0,0,7.87,0,6.1
 36-46,0,0,0,0,0,0,16.97,0.76,0,0,5.3,0,0,0,220.09,4.02,0,0,0,31.98,0,14.72
 48-58,0,0,0.84,0,0,0,44.1,0.51,0,0,1.15,0,0,0,259.48,3.29,1.87,0,0,32.58,0,4.98
 60-70,0,0,0,0,0,0,67.69,1.47,0,0,9.29,0,0,1.78,380.69,3.22,0,0,5.54,39.33,0,16.49
 72-82,0,0,0,0,0,0,77.39,3.46,1.62,0,29.9,5.11,0,0.51,421.05,2.18,0,0,0,23.46,1.59,20.66
 84-94,5.55,0,0,0,0,0,76.09,4.72,0,1.7,28.07,0,0,0.6,325.18,17.51,8.61,0,0,10.52,0,13.97
 96-106,0,0,0,0,7.32,4.85,29.79,5.56,0,1.21,7.68,0,1.02,0,224.87,6.51,1.12,0,0,10.44,2.04,19.8
108-118,0,0,0.71,0,0,0,39.98,1.92,0,0.42,12.17,0,0,0,206.25,4.84,1.15,0,0,5.3,0,12.34
120,0,0,0,0,1.91,0,39.14,9.17,0,0,4.36,0,0,1.49,475.42,0,0,0,0,16.93,0,5.48
