stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.92,39.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0,43.44,0,0,0,4.18,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.42,9.79,0,0,21.81,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.42,0,0,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0,21.72,8.55,0,0,0.86,0,0,0,1.87,4.95,0,0,0,0,0
 24-34,0,0,0,1.51,1.68,0,2.32,0,0,0,0,0,0,0,0,0,0,1.41,2.13,0.65,3.06,0,0,8.52,0,3.08,0,0,0,0,1.16,0.62,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,15.13,0.6,0,0,0,6.85,0,0.71,6.37,2.72,0,1.05,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,2.36,0,4.57,0,0.54,0,0,0,0,0.66,0,2.44,0,0,0,0,18.28,1.66,0,36,0,1.1,0,0,0,0.89,2.17,0,0,0,0,0,0,0
 60-70,0,0,0,0,6.53,0,9.47,0,0,0,0.81,1.07,0,0,0,6.39,1.29,10.39,0,0.61,3.4,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.63,0,17.27,0,11.58,0,1.63,0.62,1.71,9.55,0.49,0,6.32,6.64,0,0,0,2.31,2.82,0,0,10.13,0,3.3,0,0,0,0,0,0,3.71,3.15,0.96,1.76,1.45,0
 84-94,0,0,0.98,5.89,16.53,0,1.94,0,0,0,0,36.45,0,0,3.5,29.72,2.1,0,8.01,0,25.16,0,0,12.42,0,0,0,0,0,1.41,0,0,0,0.66,0,0,0,0
 96-106,0,0,2.4,9.92,25.94,0,9.9,0,0,0,16.16,68.79,0,0,2.06,15.25,7.26,0,0,4.76,12.8,0,0,31.23,0,3.65,0,0,0,13.01,0,0,0,10.66,0.88,2.26,0,0
108-118,0,0,5.85,19.8,33.57,0.75,4.65,0.76,0,0,2.33,115.28,0,0,5.79,17.92,8.76,2.71,0,7.26,13.42,0,0,28.25,0,1.28,0,0,1.89,9.08,0,0,1,9.2,0,1.47,0,2.28
120,0,0,3.01,11.79,40.67,0,0,0,2.41,0,4.83,55.33,0,0,65.23,9.2,4.1,12.36,0,2.99,2.62,0,0,16.06,0,3.82,0,0,0,26.58,0,0,0,13.33,0,3.2,0,0
