stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0
 24-34,0,1.2,0,0,1.12,0,0,0,0,0,0.9,0,5.83,0,0,0,1.58,2.25,0,0,0,1.98,0,1.36,0,0,0,0,0,0,5.4,0,0,0,0,1.18
 36-46,0,0,0,0,1.58,0,0,0,232.22,0,0,0,0,0,0,0,1.22,23.81,0,6.63,0,24.63,0,0,0,0,0,0,0,0,17.46,0,1.23,1.03,0,0
 48-58,0,0,0,0,13.81,0,0,0,2063.93,0,0,0,0,0,0,0,7.96,131.63,0,28.02,0.43,141.93,0,0,0,0.56,1.14,0,0,0,327.02,0,1.29,2.28,0,0
 60-70,0,11.95,1.09,0,38.99,0,0,0,7498.11,0,0.76,0,0,0,0,4.84,2.79,1829.49,0,107.29,32.81,176.23,6.77,6.22,3.79,3.13,2.98,0,0,0,1994.72,0,132.25,2.79,78.25,0
 72-82,1.97,21.51,9.39,0,274.52,1.95,0.75,13.05,10541.13,1.99,0.79,0,0,4.43,0,8.15,3.01,5552.65,0,211.02,92.11,334.12,0,1.28,3.51,5.34,14.38,0,0,1.26,2395.05,1.74,192.91,75.6,685.63,5.96
 84-94,0.66,17.54,0.93,0,362.51,0,2.78,4.8,12688.66,1.92,0,8,0,0.6,1.91,0.83,0.83,5716.56,0.57,404.78,115.16,110.07,0.67,0.76,0,0,3.45,0,11.19,0,2359.28,3.2,205.7,61.2,583.52,6.4
 96-106,0,186.73,37.72,2.17,813.25,0.97,26.69,76,9629.58,14.4,0.61,30,6.34,1.47,2.16,90.8,11.23,17767.62,25.01,350.78,438,1593.49,3.03,0,36.56,17.86,33.53,3.39,5.89,0,3155.23,0,225.03,18.7,602.27,0.68
108-118,5.8,102.36,10.54,4.78,335.47,0,8.66,96.76,10728.35,1.59,8.02,7.19,6.51,0,0.5,26.54,0.6,22672.22,0,195.87,174.56,840.5,5.93,0,39.9,29.6,11.99,0,0.6,0.66,1563.48,20.99,109.44,58.87,677.18,6.95
120,1.73,39.88,98.22,3.26,862.33,0,7.56,203.75,11850.98,11.8,2.09,79.8,0,0,7.98,5.48,0,32523.84,1.65,573.64,466.29,1495.98,2.06,0,40.27,93.09,41.22,0,12.14,13.86,2977.63,7.23,170.43,39,428.16,28.4
