stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,56.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.55,116.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.44,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.07,5.62,0,0,31.09,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.94,0,10.51,0,0,0,59.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.27,6.19,0,0,81.07,0,0,9.03,0,22.8,0,0,7.76,0,0,0,0,0
 14-21,0,0,2.14,0,7.66,0,0,4.53,0,0,0,8.01,1.28,0,0,0,0,0,0,0,3.14,0,1.76,280.34,0.85,4.5,0,0.87,0,3.5,0,3.12,4.7,0,1.06,203.8,0,0,0,0,0
 24-34,0,0,0,1.12,3.17,0.83,0,15.74,0,0,0,8.29,0,0,0,0.77,0,0,0,0,2.98,0,1.07,1040.92,0,8.1,6.59,0,0,0.8,0,0,0,0,0.6,309.8,0,0,5.39,0,0
 36-46,0,0,0,0,6.83,0,0,88.14,0,0,0,29.81,0,1.69,0,0,0,0,0,0,17.74,0,2.27,2023.37,0,13.07,5.94,0,0,0,0,0,0,0,0,436.04,0,0,3.32,0,0.68
 48-58,0,0,0,0,10.61,0,0,309.89,0,1.67,1.51,109.65,0,0.54,0,0,0,0,1.98,0,15.19,1,4.6,2153.89,0,4.95,6.89,0,0.53,0,0,0,0.73,19.64,0,429.81,0,0,14.39,0,0
 60-70,0,0,0.89,0,0.9,0,0,688.04,0,1.4,0,95.28,0,1.76,0,0,0,0,2.74,0,26.45,0,3.58,2002.01,0,5.37,12.57,0.81,0,3.39,0,0,0,5.58,0,321.98,0,0,3.77,0.89,6.94
 72-82,0,0,0.95,0,11.94,6.39,0,567.95,12.25,1.27,0,113.47,0,1.5,0,0,0,0,0,0,49.68,1.02,3.11,1681.35,0,7.04,20.85,0,2.17,0,0,0,0,5.12,0,252.43,0.5,0,17.06,1.09,0
 84-94,0,0,3.05,0,16.66,0,0,382.06,3.32,0,1.75,135.04,0,0,0,0,0,1.05,1.61,1.82,45.87,3.11,1.68,1211.21,0,2.7,19.22,0,0,4.26,0,0,0,5.83,0,131.82,0,3.75,36.79,5.88,0
 96-106,0,0,0,1.03,8.9,4.72,0,312.93,0,0,3.42,109.49,3.37,0,2.55,0,0,0,2.32,0,36.66,0,0,980.26,0,6.9,20.63,0,0,2.58,0,0,0,11.32,0,75.3,0,4.19,20.19,3.12,0.75
108-118,0,0,0,0,13.36,0.6,1.51,346.09,6.36,0,1.21,161.27,0,0.43,0.59,1.56,2,1.95,0.44,0,35.08,3.16,8.54,1002.98,0,9.27,18.65,0,1.37,0.89,0,0,0,9.68,0,22.21,0.68,1.11,8.23,6.17,0
120,0,0,0,0,14.16,0,0,311.05,8.37,0,0,172.24,0,5.19,3.46,0,0,7.33,1.45,0,71.52,2.4,0,1778.91,0,15.16,42.05,0,0,0,0,0,2.43,8.03,0,82.19,0,0,0,10.62,0
