stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,65.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,15.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.82,0,0,0,9.24,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.21,0,0,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.52,0,0,0,16.03,0,0,0,7.85,0,8.13,0,0,0,0,0,0
 14-21,0,0,0,1.87,0,9.4,0,0,0,1.06,0,0,0,0,0,0,1.02,11.54,3.18,0,0,0,77.3,0.87,0,0,0,0,0,7.06,0,0,28.4,42.4,0,0,1.07,0,2.73
 24-34,0,1.27,0,6.53,0,14.7,0,2.47,0,6.03,1.31,0,13.56,0.66,0,0,0,38.09,5.02,0,0,21,602.16,5.61,0.77,0,0,0,5.43,0,0,0.74,7.06,260.56,0,0,0,0,2.73
 36-46,0,0,0,1.89,0,23.04,0,0,2.06,35.74,0.72,0.95,23.93,0.68,0,0,0,52.21,33.16,0,0.57,12.5,950.86,1.88,0,6.42,0,0,2.55,0,0,0,0,411.38,0,0,1.05,0,0
 48-58,0,0,0,2.59,0,204.9,1.1,0,0.58,139.23,0,0,29.52,0,0,0,0,40.24,38.82,0,0.53,7.16,1010.37,0,2.2,1.59,0,0,0.81,0,0,0,0,460.03,0,0,0.91,0,2.35
 60-70,0,0,0,0,0,845.17,5.07,0,0,179.11,0,0,22.55,0,0,0,1.37,9.62,45.35,1.14,0,9.48,1842.99,1.73,5.7,1.09,0,0.71,3.81,0,0,0,0,380.9,0,0,0,0,12.51
 72-82,0,0,0,18.4,3.49,1184.92,0,1.29,10.43,244.06,1.05,0,29.77,0,0,0,7.12,25.24,67.67,0,3.48,7.4,1522.88,0,6,9.35,0,1.78,5.56,0,0,0,0,239.96,0.5,0,14.45,0,12.84
 84-94,0,1.15,0,8.66,0,943.26,0,1.74,1.27,227.83,0,0.8,81.62,0,0,0,1.5,28.53,42.23,0,3.99,2.14,1098.2,2.5,2.02,8.66,0,0,5.24,0,0,0,0,138.77,0,0,1.16,4.84,6.94
 96-106,0,0,0,4.97,0,1303.48,0,1.14,2.11,233.39,0,0,58.3,1.23,0,2.43,1.98,19.27,56.63,0,10.65,7.21,987.3,0,6.4,4.77,0,1.04,6.31,0,0,0,0,75.66,0,4.46,10.27,5.77,6.17
108-118,0,0,0,17.29,3.72,1127.39,0,2.36,1.21,278.3,0.62,0,65,2.23,2.92,3.01,0,9.17,70.68,0,0,0.57,1324.1,0,0,5.93,0,0,0.53,0,0,0,0,72.88,0,0,5.41,0.57,19.07
120,0,0,0,15.47,0,930.87,3.97,1.41,16.18,588.44,3.14,0,81.19,0,1.62,0,2.58,14.73,38.03,0,0,13.3,1883.85,0,13.49,11,0,19.22,14.88,0,0,0,0,67.73,0,0,5.96,0,2.08
