stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,426.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.86,331.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.11,16.66,0,6.99,0,0,0,43.81,0,0,0,0,0,13.84,0,0,0,0,0,0,0,0,0,0,288.18,4.4,0,0,86.48,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,39.08,0,17.12,0,0,0,9.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411.75,11.5,0,0,126.69,0,0,5.62,0,13.92,0,4.35,0,0,0,0,0,0
 14-21,0,0,0,0.93,14.06,2.75,0,14.95,0,0,0,2.38,1.78,1.29,6.26,0,0,0,0,4.33,0,24.49,0,11.52,176.54,1.73,0,1.71,18.54,0,0,0.9,26.71,0,67.2,57.14,57.6,0,0,1.07,0,0
 24-34,0,0,0,0.6,10.37,0.9,0,26.7,4.57,0,0,2.89,0,0,2,0,0,0,0.7,0,1.41,29.44,0,34.29,236.64,3.95,0,4.69,0,0,5.33,0,0,1.72,18.16,24.57,72.04,0,0,7.27,0,0
 36-46,0,0,0,0,1.08,0,0,67.35,8.31,0,1.45,18.68,0.83,0,2.56,0,0,1.81,0,1.56,0,25.34,0,10.85,233.68,0,0,0,0,0,22.53,0,0,3.76,7.89,0.59,33.95,0,0,2.34,0,0
 48-58,0,0,0,0,4,0,0,68.38,8.96,0,2.43,20.02,0,0,1.08,0.47,0,0.64,0.44,0,6.87,32.77,1.19,6.49,182.79,2.02,1.07,0.54,0,0,10.49,0,0,0,6.11,0,36.52,0,0,9.68,0,1.96
 60-70,0,0,0,0,3.82,0,0,83.25,5.66,0.79,4.88,30.39,0,0,0,0,0,0,0,0,0,37.21,1.34,11.97,142.1,0.89,0,2.58,0,0,3.17,0,0,0,5.82,0,28.83,3.21,1.03,14.12,0,0
 72-82,0,0,0,0,3.19,0,0,75.07,1.23,0,2.16,24.25,0,0,2.04,0,0,0.9,1.69,0,0,45.96,11.21,7.1,190.38,1.09,0,0.82,0,1.06,6.49,0.56,0,0.5,8.98,0,28.14,0,3.17,12.14,0,0
 84-94,0,0,0.66,0,7.92,0,0,64.1,3.6,0.66,2.87,42.07,0.64,0,1.92,1.06,0,3.58,0,0,0,89.04,11.47,7.45,91.49,0.62,0,2.65,0,0,19.21,0,0,2.03,0.73,0,18.13,0,2.08,8.13,0,0
 96-106,0,0,0,0,8.37,0,0,54.3,5.07,1.18,1.07,36.81,6.23,0,2.02,1.04,0.8,2.37,1.08,0,0,79.92,0,17.78,118.17,0.79,0,3.62,0,4.31,6.1,0,0,0.89,0,0,14.98,2.35,3.1,7.51,3,11.35
108-118,0,0,0,0,11.52,0,2.65,46.12,0,1.9,3.13,34.16,1.04,0,0,0.45,0.41,6.23,1.87,0,0.51,88.75,0,12.14,159.12,2.83,1.82,3.22,0,0,3.5,0,0,0,6.05,0,7.22,0,3.13,12.65,1.23,1.18
120,0,0,0,1.66,8.35,6.16,0,58.41,0,2.16,4.21,33.56,0,0,0,0,0,0,0,0,0,41.04,0,1.92,138.93,1.8,0,8.71,0,0,3.68,0,0,0,0,0,4.07,0,0,15.84,0,2.33
